TimeStep,CellId,Orientation,label,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
25.0,35.0,0.18948014984409806,5.0,125.78805541992188,66.89086151123047,78.03004455566406,14.44901180267334,6.0,,,-7.406,-3.573
25.0,37.0,0.08673834111079695,6.0,111.09944152832031,69.3564682006836,32.13958740234375,7.7100348472595215,36.0,38.0,19.0,0.992,0.304
26.0,10.0,0.4101273737939343,6.0,147.9046173095703,83.71939849853516,37.9587287902832,6.339745998382568,36.0,39.0,15.0,,
26.0,11.0,0.6747409572064841,3.0,125.35366821289062,52.68292999267578,18.584678649902344,5.934603214263916,5.0,40.0,17.0,4.689,1.757
26.0,13.0,0.32175053946722293,8.0,113.8499984741211,54.95000076293945,20.55480194091797,6.957010269165039,0.0,41.0,21.0,0.184,-0.184
26.0,32.0,0.4514530758777797,3.0,166.71377563476562,80.02788543701172,74.71183776855469,15.133237838745117,31.0,33.0,16.0,,
26.0,35.0,3.141592653589793,5.0,107.5,63.0,41.0,10.0,6.0,,,0.818,0.337
26.0,37.0,0.22208190211857556,6.0,110.56485748291016,72.99851989746094,37.098228454589844,9.250957489013672,36.0,38.0,19.0,0.354,0.249
27.0,11.0,0.5337081350962396,3.0,133.4701385498047,56.050537109375,42.028865814208984,6.026485443115234,5.0,40.0,17.0,,
27.0,13.0,0.30288487275266973,8.0,113.36477661132812,53.832740783691406,21.475799560546875,6.502394676208496,0.0,41.0,21.0,3.288,1.077
27.0,15.0,0.4366271915102814,6.0,138.27191162109375,78.06021881103516,20.963035583496094,6.645342826843262,10.0,,,0.021,0.869
27.0,16.0,0.4636475906407117,3.0,148.00001525878906,73.50000762939453,29.06888198852539,4.472135543823242,32.0,,,0.399,-0.741
27.0,33.0,0.4182243489036704,3.0,176.69586181640625,83.30928039550781,54.7271614074707,15.230193138122559,32.0,34.0,18.0,,
27.0,35.0,0.027020451145295363,5.0,109.53102111816406,62.85218811035156,45.091644287109375,9.456006050109863,6.0,,,,
27.0,37.0,0.27416744079661365,6.0,112.07012939453125,72.97284698486328,38.867034912109375,9.295598983764648,36.0,38.0,19.0,2.76,-0.579
27.0,39.0,0.4636475906407117,6.0,159.1000213623047,88.30001068115234,19.230182647705078,5.813776969909668,10.0,,,0.54,1.156
28.0,13.0,0.5456550757463351,8.0,117.35368347167969,57.94688415527344,37.915931701660156,10.226922035217285,0.0,41.0,21.0,-0.624,-0.439
28.0,15.0,0.49934669913149227,6.0,142.73245239257812,78.99044799804688,21.069494247436523,6.943356513977051,10.0,,,0.306,0.44
28.0,16.0,0.5880025994509304,3.0,145.3845977783203,70.4230728149414,31.063213348388672,5.269651412963867,32.0,,,,
28.0,17.0,0.8224182996574491,3.0,142.50274658203125,58.42604064941406,22.664257049560547,6.333430290222168,11.0,,,,
28.0,18.0,0.3947911278930359,3.0,173.8076934814453,75.96153259277344,43.461544036865234,6.846154689788818,33.0,42.0,22.0,9.415,-1.6
28.0,34.0,0.3805063312800144,3.0,182.7413787841797,87.89655303955078,45.123966217041016,7.427813529968262,33.0,,,,
28.0,37.0,0.28897541540578126,6.0,111.59999084472656,68.30000305175781,52.667686462402344,17.124120712280273,36.0,38.0,19.0,,
28.0,39.0,0.43240781223721436,6.0,164.7951202392578,89.94390106201172,21.93071174621582,5.9366583824157715,10.0,,,0.183,0.635
28.0,40.0,0.06656816654816047,3.0,121.88274383544922,47.258853912353516,22.15082550048828,5.853672027587891,11.0,,,0.386,0.026
29.0,13.0,0.4048917988279203,8.0,115.25,57.25000762939453,34.79621124267578,7.878386974334717,0.0,41.0,21.0,,
29.0,15.0,0.6435010789344459,6.0,144.13999938964844,80.97999572753906,22.600004196166992,6.600000858306885,10.0,,,-0.531,1.184
29.0,18.0,0.5132522616052865,3.0,165.12445068359375,75.77923583984375,90.53648376464844,18.278356552124023,33.0,42.0,22.0,,
29.0,19.0,0.28177186426273954,6.0,115.65367889404297,74.24185180664062,45.87958908081055,9.65619945526123,37.0,,,0.942,0.334
29.0,20.0,0.4636475906407117,9.0,121.00001525878906,67.00000762939453,25.043960571289062,4.472135543823242,0.0,,,-0.682,-0.062
29.0,38.0,2.83870774754761,6.0,95.89323425292969,62.158363342285156,23.086484909057617,7.63584041595459,37.0,,,0.381,-0.077
29.0,39.0,0.39479106131400865,6.0,167.29290771484375,91.9970474243164,22.84615707397461,6.230769634246826,10.0,,,,
29.0,40.0,3.075024412140227,3.0,122.07523345947266,47.12832260131836,24.079877853393555,5.853672027587891,11.0,,,0.673,-0.397
30.0,15.0,0.8519663382679872,6.0,148.17698669433594,85.84513854980469,19.943283081054688,6.114686012268066,10.0,,,1.826,-0.566
30.0,19.0,0.34097892872224494,6.0,116.95564270019531,75.30683898925781,50.58708953857422,10.336304664611816,37.0,,,0.63,-0.006
30.0,20.0,0.5880025328719031,9.0,120.5384521484375,67.19230651855469,21.63330841064453,5.269651889801025,0.0,,,0.433,0.152
30.0,21.0,0.9151006998080051,8.0,130.57992553710938,67.05390167236328,20.7911376953125,5.8532233238220215,13.0,,,0.166,0.183
30.0,22.0,0.5516549779452019,3.0,165.122314453125,81.11373901367188,22.994775772094727,5.044438362121582,18.0,,,0.401,-0.368
30.0,23.0,0.5191461034137409,10.0,142.37692260742188,56.21538543701172,27.659744262695312,6.697875499725342,0.0,,,0.408,0.068
30.0,24.0,0.6435010789344459,11.0,134.37998962402344,60.160003662109375,16.400001525878906,3.8000001907348633,0.0,,,0.27,-0.392
30.0,25.0,0.4636475906407117,12.0,164.20001220703125,71.10000610351562,23.702320098876953,6.260990142822266,0.0,,,0.366,-0.179
30.0,26.0,0.6889243539610008,13.0,160.58969116210938,84.42681884765625,50.58413314819336,11.17028522491455,0.0,43.0,27.0,,
30.0,38.0,2.8842689743186307,6.0,95.58550262451172,61.92487335205078,24.991239547729492,7.889291286468506,37.0,,,0.241,-0.137
30.0,40.0,2.9927026407364608,3.0,120.62835693359375,45.355743408203125,27.44298553466797,6.724767208099365,11.0,,,0.342,-0.325
30.0,41.0,0.20749623488140234,8.0,109.50531768798828,53.97481155395508,23.742708206176758,6.334822177886963,13.0,,,0.248,-0.197
