TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
13,3,1,-0.272378542881093,74.4707112970711,83.1331938633194,39.843917841115,5.8896277917473,1,0,0,0.012,0.165
13,4,2,-0.229603353077587,83.435972629521,90.8489736070381,60.4252940565328,5.89550055698973,2,20,0,0.025,0.281
13,5,3,-0.190569510815895,100.949934980494,69.2464239271782,46.6168565601744,5.57582573323968,0,0,0,0.017,0.309
13,6,4,-0.252377426181819,120.317084942085,74.0970077220077,52.0135040476578,7.13093748912844,0,0,0,0.01,0.87
14,3,1,-0.269004640370457,75.4099337748344,83.3993377483444,43.4461087819061,5.87273646542519,1,0,0,0.003,0.327
14,4,2,-0.239434703426313,85.7233009708738,90.6403353927626,67.822429909009,5.99236722904409,2,20,0,0.012,0.52
14,5,3,-0.173181741179128,102.877088305489,69.159307875895,51.6326791890844,5.50016715567503,0,0,0,0.01,0.459
14,6,4,-0.219552701623041,125.722222222222,73.5450568678915,55.1460635494303,7.52042127187006,0,0,0,0.014,0.943
15,3,1,-0.271547496903649,78.2778505897772,82.9790301441678,44.2431219545891,5.83768204232497,1,0,0,0.018,1.238
15,4,2,-0.228379129272623,90.2152721364744,89.8960194963444,71.3523614670252,6.14307127188528,2,20,0,-0.168,-1.102
15,5,3,-0.150753613170268,105.858960176991,68.8141592920354,54.7633216027283,5.4796122270443,0,0,0,-0.063,-2.176
15,6,4,-0.207777496474164,131.65162601626,72.6573170731707,59.3515444389666,7.55094217433804,0,0,0,-0.055,-1.595
16,3,1,-0.283961133558964,79.3269230769231,90.3930288461538,49.6733866077399,5.60575278641063,1,0,0,0.016,0.306
16,4,2,-0.145860181483968,93.9431034482759,77.6,20.811774175314,4.2158195365793,2,20,0,0.008,0.741
16,5,3,-0.183908842612002,92.4149108589951,69.0826580226904,35.9739910474307,5.87096344148991,0,0,0,0.009,-0.391
16,6,4,-0.0637892438098156,121.920620437956,73.5602189781022,42.9813597083887,4.57865655256837,0,0,0,0.013,1.459
16,7,5,-0.353871136598053,70.0246548323471,83.5404339250493,30.1196352972506,5.25820200415653,0,0,0,-0.003,0.306
16,8,6,-0.106039308536873,117.415222772277,83.085396039604,47.5218728104693,5.72044343813,0,13,12,0.021,1.16
16,9,7,-0.029877693595557,121.836448598131,64.8411214953271,33.5355468338508,5.19616758444208,0,0,0,0.011,-0.489
16,10,8,-0.272919491255698,155.811090225564,63.7091165413534,43.4024761532959,8.35655989814704,0,21,21,0.019,0.417
17,3,1,-0.252665508223216,81.9906490649065,90.0638063806381,54.3523281579557,5.71313731003861,1,0,0,0.018,0.578
17,4,2,-0.153632594375469,99.1119402985075,77.0716417910448,23.2179273560289,4.45666830868,2,20,0,0.0,0.741
17,5,3,-0.257149955754424,89.042113323124,70.2664624808576,38.6982880433778,5.6368150514901,0,0,0,0.013,-0.558
17,6,4,0.0150078117759484,130.053962900506,74.1070826306914,46.954217808841,4.47982418798916,0,0,0,0.048,1.51
17,7,5,-0.288714227105463,72.781181619256,83.1958424507659,29.1930091185822,4.98403475398473,0,0,0,0.021,0.655
17,8,6,-0.039429793177537,124.478711162255,83.0471806674338,53.7953247355341,5.67189377114714,0,13,12,0.033,1.285
17,9,7,0.0421594899606644,118.912836767036,65.1093502377179,36.7933519089745,5.88635272812549,0,0,0,0.005,-0.279
17,10,8,-0.200587680037244,158.733245149912,62.0176366843033,49.0859688676007,7.48020732341116,0,21,21,0.036,0.268
18,3,1,-0.291007371244591,85.7565922920893,90.5131845841785,59.7154712136488,5.76816845128944,1,0,0,0.025,0.363
18,4,2,-0.131336937889843,103.985337243402,76.7785923753666,23.3659534185999,4.49682224785383,2,20,0,0.011,0.339
18,5,3,-0.339915598442056,82.4946018893387,73.725371120108,42.537550486368,5.93235265542325,0,0,0,0.003,-0.228
18,6,4,-0.0466769205925506,138.580597014925,74.2873134328358,61.2946782675776,4.31482215985945,0,0,0,0.002,0.781
18,7,5,-0.297019268992302,76.2149321266968,84.5294117647059,35.4541362681794,4.25261746112148,0,0,0,-0.005,0.464
18,8,6,-0.0576236679819325,131.899896800826,83.4174406604747,63.6433101113617,5.6785641568713,0,13,12,0.032,1.129
18,9,7,-0.050084236413107,116.334548104956,66.8491253644315,38.2524021539538,5.69690211681917,0,0,0,0.019,-0.642
18,10,8,-0.150057903774248,160.078860445912,62.2485549132948,59.8614885849304,6.99389420667359,0,21,21,0.045,0.041
19,3,1,-0.292867299245073,89.0544373284538,89.8412625800549,67.2690132539244,5.73561527286172,1,0,0,0.01,0.322
19,4,2,-0.143653553849961,106.87012987013,75.6831168831169,26.6283756752253,4.79511458673907,2,20,0,-0.006,0.154
19,5,3,-0.378318887687991,79.1490196078431,75.6679738562091,43.4072121587853,6.34025075998971,0,0,0,0.007,0.193
19,6,4,-0.0862856639909462,143.713305898491,72.8854595336077,61.8598877377681,4.3546368419621,0,0,0,0.065,0.366
19,7,5,-0.358538357086955,80.1368286445013,84.0549872122762,34.0099768680833,3.78295979240987,0,0,0,0.002,0.11
19,8,6,-0.115914431685433,139.140035906643,82.4017055655296,73.3249848167467,6.04299381202217,0,13,12,0.009,0.522
19,9,7,0.008231820481014,113.023545706371,66.1620498614958,43.9981385399194,5.67595652402817,0,0,0,0.007,-0.882
19,10,8,-0.120126531917573,160.50838658147,61.7036741214058,73.3716799472922,6.47531837764063,0,21,21,0.014,-0.194
20,3,1,-0.286569853685223,91.6051948051948,89.5575757575758,70.1535395008993,5.63553649194895,1,0,0,-0.037,-1.199
20,4,2,-0.244183249820886,107.594240837696,75.9947643979058,24.7016110194728,4.87540129236491,2,20,0,-0.01,0.723
20,5,3,-0.32689655597997,80.0048959608323,76.171970624235,45.628009385263,6.39385027624169,0,0,0,-0.041,-0.783
20,6,4,-0.171366912301407,145.605067985167,73.2008652657602,81.2181676582195,4.26504353058213,0,0,0,-0.118,2.704
20,7,5,-0.313287458093647,80.4177215189873,84.5455696202532,34.55283647053,3.72242887371648,0,0,0,0.056,-0.076
20,8,6,-0.225661847110139,141.507673667205,83.5214054927302,75.9975475651285,6.07567444205934,0,13,12,,
20,9,7,0.170110395719165,108.637869822485,64.9136094674556,46.0197986911168,6.04558150978316,0,0,0,-0.075,-0.763
20,10,8,-0.136584451459577,159.303328290469,62.1316187594554,77.6206405387368,6.74437492879904,0,21,21,-0.111,1.221
21,3,1,-0.281849912887301,81.5434782608696,90.8960763520679,59.1678291926998,5.83821509395506,1,0,0,0.008,-0.18
21,4,2,-0.221848826361495,113.564814814815,73.6234567901235,21.6098444000951,4.71838572890296,2,20,0,0.002,-0.117
21,5,3,-0.321389642159554,73.7534381139489,76.8998035363458,33.3213375419453,5.26861553913051,0,0,0,0.015,-0.398
21,6,4,-0.213988204741801,157.903456495828,78.8319427890346,45.8035151730461,6.55107944736164,0,0,0,0.075,0.111
21,7,5,-0.314250300779999,82.3367537313433,82.1371268656716,51.3062079320778,3.80523260568138,0,0,0,0.008,-0.158
21,9,7,-0.27883199993086,101.704204204204,68.7117117117117,23.5123528068067,4.39865085853563,0,0,0,0.017,-0.319
21,10,8,-0.152863639538841,166.662529550827,59.8936170212766,44.202008404462,7.05399157312433,0,21,21,0.006,0.338
21,11,9,-0.235900452666214,91.7153493699885,62.9009163802978,50.6202478212047,5.86164005283024,0,0,0,0.012,-0.802
21,12,6,-0.199594585161439,119.445362134689,88.8742058449809,46.4511962605671,5.67221384790368,8,0,0,0.022,-0.676
21,13,6,-0.223299128258821,122.301397205589,79.373253493014,41.545313497335,4.18354587574741,8,0,0,-0.007,0.641
21,14,10,0.298864449323904,127.250965250965,56.8925353925354,42.6415150759515,6.08742734825375,0,17,17,,
