ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_FilteredNuclei,Parent_IdentifyPrimaryObjects,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
19,1,269,432,140,61,113,45,126.04832713754647,52.92936802973978,1.389185299121494,284,0.9218305406833133,18.5067943613625,1,0.6226851851851852,0.7198463737216262,29.837216115305157,28.231188426986208,5.830951894845301,2.715682950259368,2.8284271247461903,10.93577801877454,11.564700748278804,68.2850905620278,68.5269119345812,0.9471830985915493,126.04832713754647,52.92936802973978,0,1,1,1,0.23697132334920057,0.23697132334920057,nan,0.23697132334920057,20.0,2,1.0,18.0,1,0.04100113022045093,0.23339733376908356
19,2,199,336,162,70,138,56,149.50251256281408,62.47738693467337,1.4251601713046378,216,0.9166403843857747,15.91774699517169,1,0.5922619047619048,0.7016755169943933,25.434357705827605,23.769728648009426,5.0,2.39305419863246,2.23606797749979,9.568805766427722,10.16644098280229,67.42682062659334,59.698484809834994,0.9212962962962963,149.50251256281408,62.47738693467337,0,2,2,2,0.6370554209754083,0.6370554209754083,nan,0.6370554209754083,21.0,2,1.0,18.0,3,0.6059608386761397,0.19659875733346865
19,3,325,651,345,97,314,76,328.8276923076923,85.92307692307692,1.5703276402215827,345,0.9439873569131193,20.342144725641095,1,0.49923195084485406,0.6368097805747684,35.605642671302014,33.12099032335839,5.656854249492381,2.761539502808199,2.8284271247461903,10.816653826391969,11.749207674114647,-58.93799916835628,80.08326112068524,0.9420289855072463,328.8276923076923,85.92307692307692,0,3,3,3,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
19,4,224,350,250,116,236,91,242.41517857142858,102.53125,1.4304917881115518,242,0.9189450725272498,16.88803298257901,1,0.64,0.6990602870360683,27.039725062598404,25.495097567963924,5.0990195135927845,2.514987771163625,2.23606797749979,9.769828109255744,10.664076553699779,-17.828449137863654,63.4558441227157,0.9256198347107438,242.41517857142858,102.53125,0,4,4,4,0.7318397478639544,0.5198241160519106,nan,2.839137086969076,14.0,11,0.2577683730817066,18.0,5,0.4539716748768683,-0.2532327586206833
19,5,238,392,243,143,229,115,235.6638655462185,128.0420168067227,1.5858936946914641,258,0.944718896158371,17.407785949022028,1,0.6071428571428571,0.6305592886505235,30.686119520746686,28.460498941515414,5.0,2.4205184748798922,2.23606797749979,9.458889376416986,10.061407584544602,-15.926384039004217,68.8700576850888,0.9224806201550387,235.6638655462185,128.0420168067227,0,5,5,5,3.625054759575111,0.1863420605636079,nan,3.92380368319214,15.0,11,0.9238624182711436,18.0,6,0.17406962785113933,0.06650660264106989
19,6,278,580,128,188,108,159,117.13309352517986,173.33093525179856,1.6719844119060554,297,0.9527570697999425,18.81384047546846,1,0.4793103448275862,0.5980917004244101,34.266420711266285,31.906112267087632,5.0,2.5117445308266166,2.23606797749979,9.775419353123004,10.407855772981515,-29.627442938793372,76.42640687119285,0.936026936026936,117.13309352517986,173.33093525179856,0,6,6,6,1.6440505850081848,0.20562428449524614,nan,4.086651578966138,5.0,19,0.40229771323546626,18.0,7,0.19253408462041932,0.07219399305731145
19,7,245,486,247,205,220,187,232.91020408163266,195.59183673469389,1.5733209231362906,261,0.9483253163427546,17.66192765414112,1,0.5041152263374485,0.6355982338343148,31.495930447864982,29.068883707497267,5.0,2.430011513093104,2.23606797749979,9.178570359601427,9.993649022425924,61.47186928853784,69.59797974644667,0.9386973180076629,232.91020408163266,195.59183673469389,0,7,7,7,1.9945153333187475,0.12998044483266463,nan,2.6787338596338275,6.0,19,0.7445739061182398,18.0,8,0.12673951470353018,0.028844608709619024
19,8,295,396,299,232,266,220,282.1322033898305,225.30847457627118,1.6082414893449513,314,0.9538901809495811,19.38054864282415,1,0.7449494949494949,0.6217971658020758,35.61020946154959,32.984845004941285,5.0,2.613965605680827,2.23606797749979,10.182337649086284,10.688612001428876,81.07086489504235,77.21320343559643,0.9394904458598726,282.1322033898305,225.30847457627118,0,8,8,8,1.785889423840572,0.05539059644095348,nan,2.5701658983919726,7.0,19,0.6948537543657847,18.0,9,0.04831077238083026,-0.027095893527473436
19,9,214,336,275,262,251,248,262.10280373831773,254.94859813084113,1.4044385416017455,230,0.9064963056424225,16.50676414605009,1,0.6369047619047619,0.7120283090917684,25.528223605055494,23.769728648009426,5.385164807134504,2.515453340433207,2.23606797749979,10.110595330198636,10.778366933500902,-71.45382606640723,61.45584412271572,0.9304347826086956,262.10280373831773,254.94859813084113,0,9,9,9,5.292607336383808,0.24159098116477035,nan,6.144026749997017,12.0,12,0.8614232248234235,18.0,10,-0.17901444350047768,0.16223449447750227
19,10,267,513,297,274,270,255,282.94756554307116,264.5805243445693,1.5529517047908727,290,0.9303331474027392,18.437867513470433,1,0.52046783625731,0.643935028317358,30.558072353781572,29.410882339705484,5.656854249492381,2.6293949692461562,2.23606797749979,10.73312629199899,11.206117819946332,60.050728688765496,72.18376618407356,0.9206896551724137,282.94756554307116,264.5805243445693,0,10,10,10,3.3812285213463418,0.24261252154154983,nan,4.841812418232066,13.0,12,0.6983394293868493,18.0,11,-0.23153893454076524,-0.07246073005757125
19,11,262,420,162,292,132,278,145.5114503816794,284.78625954198475,1.702570797640679,302,0.9456148243423977,18.26441241104166,1,0.6238095238095238,0.5873470879365136,32.67561544967049,30.364452901377952,5.385164807134504,2.4837428068337566,2.23606797749979,11.497314264388777,10.629001722824052,78.5502058135478,74.87005768508881,0.8675496688741722,145.5114503816794,284.78625954198475,0,11,11,11,1.9937455908380535,1.8636183048925055,nan,2.1286195408836766,18.0,3,0.9366378314888384,18.0,12,-0.7941051738761473,-1.6859626802374805
19,12,265,348,138,298,109,286,123.07924528301886,291.2830188679245,1.448644592731456,285,0.9280771238372645,18.36868202552426,1,0.7614942528735632,0.6903004401614303,30.28302313116797,28.284271247461902,5.830951894845301,2.6573868017890483,2.23606797749979,10.889444430272832,11.277035624004041,-85.64333373763282,69.45584412271572,0.9298245614035088,123.07924528301886,291.2830188679245,0,12,12,12,8.557769428218247,3.3706665872002826,nan,26.073240258667465,9.0,19,0.32822040311515976,18.0,13,3.3699429574374733,0.06984057335085936
19,13,234,378,157,308,136,290,147.5940170940171,296.94871794871796,1.3192620003871012,255,0.8291243926222319,17.26088217525478,1,0.6190476190476191,0.7579995480098551,24.100582300888586,23.430749027719962,6.324555320336759,2.6831310810982534,2.23606797749979,13.590154807518113,13.47377194100377,53.93029579861017,62.2842712474619,0.9176470588235294,147.5940170940171,296.94871794871796,0,13,13,13,1.81385397940233,1.9510488644542712,nan,2.181674655953858,19.0,3,0.8314044325776376,18.0,14,-1.2430869783810863,-1.503770739064862
19,14,200,275,140,306,115,295,126.785,300.59,1.3676080904084833,213,0.920553433143651,15.957691216057308,1,0.7272727272727273,0.7312036299092933,25.616517856165938,24.331050121192877,5.0,2.455687799860992,2.118033988749895,9.426639828779843,10.006238700167586,-83.22211647557252,58.62741699796952,0.9389671361502347,126.785,300.59,0,14,14,14,11.581384563039663,1.4362536184574404,nan,24.809210956491103,9.0,19,0.4668179323941578,18.0,15,0.1867467248908241,1.4240611353711756
20,1,277,476,141,62,113,45,126.31407942238268,53.08664259927798,1.4150888399529855,295,0.920172051875854,18.77997214831907,1,0.5819327731092437,0.7066694130901517,30.126612770079884,28.792360097775937,5.830951894845301,2.73703512784734,2.8284271247461903,11.19208531608957,11.794997703300632,67.75097001395257,70.18376618407356,0.9389830508474576,126.31407942238268,53.08664259927798,0,1,1,1,0.49671137865229337,0.30880344415030947,nan,0.54577476749951,20.0,3,0.910103229814008,19.0,1,0.2657522848362106,0.1572745695382025
20,2,190,220,199,66,177,56,187.44210526315788,60.47894736842105,1.292718407183775,200,0.8962345083443406,15.553633450087505,1,0.8636363636363636,0.7735636736066359,23.481937588737516,21.213203435596427,5.0,2.48595937457894,2.0,9.0,10.416130836057679,84.81054565903534,55.55634918610404,0.95,187.44210526315788,60.47894736842105,0,2,2,2,0.0,0.0,nan,0.0,23.0,1,nan,0.0,0,0.0,0.0
