ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
25,16,1,90.7847533632287,92.2914798206278,0,16
25,17,1,144.05504587155963,94.07798165137615,0,17
25,18,1,118.70815450643777,100.30901287553648,0,18
25,19,1,181.85714285714286,99.73809523809524,0,19
25,20,1,166.90867579908675,100.5662100456621,0,20
25,21,1,184.9442231075697,108.0597609561753,0,21
25,22,1,136.11158798283262,110.62231759656652,0,22
25,23,1,161.30541871921181,112.09852216748769,0,23
25,24,1,133.3991769547325,119.51851851851852,0,24
26,1,1,183.9656862745098,64.5343137254902,0,1
26,2,1,210.81951219512194,67.2,0,2
26,3,1,158.2117117117117,73.43243243243244,0,3
26,4,1,214.24528301886792,81.67547169811321,0,4
26,5,1,129.3658536585366,74.29268292682927,0,5
26,6,1,171.7342995169082,76.33816425120773,0,6
26,7,1,182.24663677130044,78.82062780269058,0,7
26,8,1,88.16083916083916,79.1013986013986,0,8
26,9,1,205.0843373493976,81.10843373493977,0,9
26,10,1,122.1686274509804,83.42745098039215,0,10
26,11,1,193.97402597402598,81.6948051948052,0,11
26,12,1,117.58119658119658,88.94017094017094,0,12
26,13,1,143.51020408163265,83.5765306122449,0,13
26,14,1,86.81308411214954,86.89252336448598,0,14
26,15,1,162.72590361445782,95.63855421686748,0,15
26,16,1,150.56147540983608,92.91803278688525,0,16
26,17,1,91.25416666666666,92.78333333333333,0,17
26,18,1,186.76363636363635,98.73939393939393,0,18
26,19,1,121.80246913580247,99.61316872427983,0,19
26,20,1,171.2274678111588,100.07296137339056,0,20
26,21,1,189.24908424908426,107.82783882783883,0,21
26,22,1,136.87109375,110.609375,0,22
26,23,1,166.7025641025641,111.45128205128205,0,23
26,24,1,137.79770992366412,118.96946564885496,0,24
27,1,1,213.25114155251143,63.02283105022831,0,1
27,2,1,190.91743119266056,60.76146788990825,0,2
27,3,1,160.08677685950414,69.66528925619835,0,3
27,4,1,214.23076923076923,79.31818181818181,0,4
27,5,1,84.20983606557377,75.01311475409837,0,5
27,6,1,182.5655737704918,75.2827868852459,0,6
27,7,1,117.76325088339223,79.47349823321555,0,7
27,8,1,128.31336405529953,71.9447004608295,0,8
27,9,1,170.63963963963963,73.43693693693693,0,9
27,10,1,205.9889502762431,77.70718232044199,0,10
27,11,1,112.8828125,84.75,0,11
27,12,1,193.46753246753246,79.03896103896103,0,12
27,13,1,81.77542372881356,84.29237288135593,0,13
27,14,1,140.27678571428572,81.0,0,14
27,15,1,85.72900763358778,89.99236641221374,0,15
27,16,1,171.97142857142856,88.62285714285714,0,16
27,17,1,147.53030303030303,90.71969696969697,0,17
27,18,1,116.47924528301887,96.14339622641509,0,18
27,19,1,186.07650273224044,95.55191256830601,0,19
27,20,1,169.17254901960786,97.45098039215686,0,20
27,21,1,186.94612794612794,106.06734006734007,0,21
27,22,1,147.66863905325442,98.07100591715977,0,22
27,23,1,132.08527131782947,108.43410852713178,0,23
27,24,1,164.04265402843603,108.90995260663507,0,24
27,25,1,134.54137931034484,116.86551724137931,0,25
28,1,1,205.22545454545454,51.92727272727273,0,1
28,2,1,217.92395437262357,58.749049429657795,0,2
28,3,1,74.87061994609165,71.02156334231806,0,3
28,4,1,165.2147435897436,65.40705128205128,0,4
28,5,1,110.93659942363112,75.6743515850144,0,5
28,6,1,190.71428571428572,67.89036544850498,0,6
28,7,1,97.31491712707182,68.99447513812154,0,7
28,8,1,225.67934782608697,66.83152173913044,0,8
28,9,1,173.20284697508896,69.63701067615658,0,9
28,10,1,212.1267605633803,71.22535211267606,0,10
28,11,1,76.5719557195572,79.55719557195572,0,11
28,12,1,125.21863799283155,70.415770609319,0,12
28,13,1,85.67878787878787,79.76363636363637,0,13
28,14,1,193.24489795918367,76.38775510204081,0,14
28,15,1,134.6027397260274,79.93150684931507,0,15
28,16,1,97.88,86.76,0,16
28,17,1,208.57286432160805,87.8894472361809,0,17
28,18,1,159.53216374269005,84.3157894736842,0,18
28,19,1,170.75124378109453,86.96517412935323,0,19
28,20,1,187.05263157894737,91.76754385964912,0,20
28,21,1,112.1271676300578,90.3699421965318,0,21
28,22,1,194.23728813559322,95.37288135593221,0,22
28,23,1,174.63473053892216,92.88023952095809,0,23
28,24,1,135.45882352941177,93.44117647058823,0,24
28,25,1,69.76271186440678,97.77401129943503,0,25
28,26,1,142.09803921568627,98.30392156862744,0,26
28,27,1,114.75067750677506,106.78319783197831,0,27
28,28,1,115.73417721518987,101.0253164556962,0,28
28,29,1,150.9189189189189,102.2918918918919,0,29
28,30,1,158.63117870722434,108.54372623574145,0,30
28,31,1,175.1747572815534,112.87378640776699,0,31
28,32,1,114.2752808988764,116.16292134831461,0,32
28,33,1,139.40265486725664,119.22123893805309,0,33
29,1,1,220.9935064935065,49.175324675324674,0,1
29,2,1,74.21197007481297,71.19700748129675,0,2
29,3,1,199.9806451612903,53.54838709677419,0,3
29,4,1,217.64808362369337,62.18815331010453,0,4
29,5,1,96.91282051282052,66.3025641025641,0,5
29,6,1,111.25333333333333,74.11466666666666,0,6
29,7,1,166.64619883040936,65.44152046783626,0,7
29,8,1,194.15692307692308,66.9723076923077,0,8
29,9,1,227.41361256544502,68.41884816753927,0,9
29,10,1,124.6456953642384,68.82781456953643,0,10
29,11,1,183.3421052631579,64.76315789473684,0,11
29,12,1,76.77777777777777,79.64983164983165,0,12
29,13,1,213.66517857142858,74.20535714285714,0,13
29,14,1,86.23756906077348,78.96685082872928,0,14
29,15,1,164.6689655172414,75.1448275862069,0,15
29,16,1,122.72297297297297,76.87837837837837,0,16
29,17,1,192.33333333333334,76.95238095238095,0,17
29,18,1,97.49468085106383,86.97872340425532,0,18
29,19,1,189.95020746887965,89.83817427385893,0,19
29,20,1,143.02564102564102,81.62820512820512,0,20
29,21,1,160.18324607329842,85.42408376963351,0,21
29,22,1,170.78804347826087,88.0163043478261,0,22
29,23,1,209.0184331797235,90.82488479262673,0,23
29,24,1,112.34536082474227,88.74226804123711,0,24
29,25,1,174.28108108108108,93.88648648648649,0,25
29,26,1,134.2565445026178,94.36649214659685,0,26
29,27,1,192.0050505050505,98.41919191919192,0,27
29,28,1,69.94270833333333,99.58854166666667,0,28
29,29,1,113.6470588235294,99.31764705882352,0,29
29,30,1,140.70319634703196,100.0,0,30
29,31,1,100.95098039215686,103.75,0,31
29,32,1,148.43979057591622,104.16753926701571,0,32
29,33,1,160.92857142857142,108.72932330827068,0,33
29,34,1,127.19047619047619,112.75661375661376,0,34
29,35,1,170.66355140186917,114.1214953271028,0,35
29,36,1,113.80412371134021,117.51030927835052,0,36
29,37,1,141.49583333333334,120.6625,0,37
30,1,1,226.8443113772455,48.67065868263473,0,1
30,2,1,74.79518072289157,72.40240963855422,0,2
30,3,1,96.48648648648648,62.74324324324324,0,3
30,4,1,204.26708074534162,53.96894409937888,0,4
30,5,1,104.46875,63.958333333333336,0,5
30,6,1,230.3227848101266,56.46835443037975,0,6
30,7,1,180.28021978021977,60.0989010989011,0,7
30,8,1,124.1920731707317,67.08841463414635,0,8
30,9,1,207.9100529100529,61.645502645502646,0,9
30,10,1,230.3826530612245,69.59693877551021,0,10
30,11,1,83.90384615384616,69.7948717948718,0,11
30,12,1,185.72392638036808,65.56441717791411,0,12
30,13,1,211.53424657534248,69.82191780821918,0,13
30,14,1,216.7136929460581,74.70539419087137,0,14
