ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifySecondaryObjects
28,7,36.74242424242424,126.03030303030303,0,7,9
28,8,234.91764705882352,131.81176470588235,0,8,10
28,9,117.47904191616766,172.78443113772454,0,9,15
28,10,54.46938775510204,180.0,0,10,17
28,11,227.60256410256412,193.2948717948718,0,11,18
28,12,240.3846153846154,199.15384615384616,0,12,19
28,13,280.34594594594597,225.42162162162163,0,13,20
28,14,258.99236641221376,257.17557251908397,0,14,21
28,15,285.9438202247191,266.82022471910113,0,15,22
28,16,117.29310344827586,290.7241379310345,0,16,27
28,17,151.4878048780488,298.0243902439024,0,17,28
29,1,127.93798449612403,54.44186046511628,0,1,1
29,2,158.66101694915255,59.03389830508475,0,2,2
29,3,183.95180722891567,61.59036144578313,0,3,3
29,4,208.97916666666666,63.0,0,4,5
29,5,327.67857142857144,87.01530612244898,0,5,6
29,6,244.81914893617022,96.41489361702128,0,6,7
29,7,36.96825396825397,126.25396825396825,0,7,9
29,8,234.7912087912088,131.82417582417582,0,8,10
29,9,117.51234567901234,172.87037037037038,0,9,15
29,10,55.0625,180.29166666666666,0,10,18
29,11,234.4878048780488,196.39634146341464,0,11,19
29,12,280.1459459459459,225.5027027027027,0,12,20
29,13,258.703125,257.2734375,0,13,21
29,14,286.8024691358025,267.2716049382716,0,14,22
29,15,117.06896551724138,291.13793103448273,0,15,26
29,16,151.9,298.65,0,16,27
30,1,129.16666666666666,55.19565217391305,0,1,1
30,2,159.54237288135593,58.779661016949156,0,2,2
30,3,183.2054794520548,62.23287671232877,0,3,3
30,4,209.24752475247524,63.10891089108911,0,4,4
30,5,327.2620320855615,87.41711229946524,0,5,5
30,6,245.0222222222222,96.4888888888889,0,6,6
30,7,37.38461538461539,127.13846153846154,0,7,8
30,8,235.01098901098902,131.62637362637363,0,8,10
30,9,117.34545454545454,173.23636363636365,0,9,15
30,10,55.734693877551024,180.87755102040816,0,10,17
30,11,234.80124223602485,196.6024844720497,0,11,18
30,12,280.0223463687151,225.41899441340783,0,12,19
30,13,258.3984375,257.421875,0,13,20
30,14,287.1095890410959,267.28767123287673,0,14,21
30,15,116.91379310344827,291.0,0,15,24
30,16,152.63636363636363,299.45454545454544,0,16,25
31,1,128.3464566929134,54.91338582677165,0,1,1
31,2,160.17857142857142,58.44642857142857,0,2,2
31,3,182.75324675324674,62.74025974025974,0,3,4
31,4,208.90625,63.3125,0,4,5
31,5,327.44559585492226,87.4041450777202,0,5,6
31,6,245.57777777777778,95.88888888888889,0,6,7
31,7,37.65,127.73333333333333,0,7,9
31,8,235.0421052631579,131.78947368421052,0,8,10
31,9,117.67948717948718,172.64743589743588,0,9,14
31,10,56.01960784313726,181.8235294117647,0,10,16
31,11,235.14102564102564,196.71794871794873,0,11,17
31,12,280.30167597765364,225.53631284916202,0,12,18
31,13,258.312,257.48,0,13,19
31,14,287.02702702702703,267.2972972972973,0,14,20
31,15,116.55932203389831,290.8474576271187,0,15,23
31,16,152.6341463414634,298.780487804878,0,16,25
32,1,128.38095238095238,54.976190476190474,0,1,1
32,2,182.48,62.61333333333334,0,2,5
32,3,209.09708737864077,63.25242718446602,0,3,6
32,4,327.14659685863876,87.49214659685863,0,4,7
32,5,245.89361702127658,95.54255319148936,0,5,8
32,6,235.03092783505156,131.76288659793815,0,6,10
32,7,37.92063492063492,128.36507936507937,0,7,11
32,8,117.41566265060241,173.15060240963857,0,8,14
32,9,56.15909090909091,182.54545454545453,0,9,16
32,10,235.15662650602408,196.6144578313253,0,10,17
32,11,280.0335195530726,225.60335195530726,0,11,18
32,12,258.00763358778624,257.6564885496183,0,12,19
32,13,287.2,267.62666666666667,0,13,20
32,14,116.34426229508196,291.0163934426229,0,14,23
33,1,127.832,54.896,0,1,1
33,2,182.35714285714286,62.8,0,2,5
33,3,209.44554455445544,63.42574257425743,0,3,6
33,4,335.1208791208791,82.67032967032966,0,4,7
33,5,319.26881720430106,92.52688172043011,0,5,8
33,6,246.73563218390805,94.74712643678161,0,6,9
33,7,235.13978494623655,131.3763440860215,0,7,11
33,8,38.339285714285715,129.0,0,8,12
33,9,117.53757225433526,172.53757225433526,0,9,15
33,10,56.26190476190476,183.8095238095238,0,10,17
33,11,227.41666666666666,193.41666666666666,0,11,18
33,12,242.25263157894736,199.1263157894737,0,12,19
33,13,270.74468085106383,224.11702127659575,0,13,20
33,14,291.75949367088606,227.53164556962025,0,14,21
33,15,258.2132352941176,257.5367647058824,0,15,22
33,16,287.93333333333334,267.8,0,16,23
33,17,116.0,291.03333333333336,0,17,26
34,1,128.0708661417323,54.94488188976378,0,1,1
34,2,161.94,58.08,0,2,2
34,3,181.8450704225352,63.267605633802816,0,3,4
34,4,209.57522123893804,63.663716814159294,0,4,5
34,5,336.1066666666667,81.6,0,5,7
34,6,247.0,94.5,0,6,8
34,7,319.3296703296703,92.54945054945055,0,7,9
34,8,38.21666666666667,129.15,0,8,11
34,9,233.39344262295083,136.0,0,9,13
34,10,117.72413793103448,172.01149425287358,0,10,15
34,11,236.20454545454547,196.6818181818182,0,11,20
34,12,269.7263157894737,223.90526315789472,0,12,21
34,13,291.875,227.4090909090909,0,13,22
34,14,258.030303030303,257.4166666666667,0,14,23
34,15,288.8787878787879,267.95454545454544,0,15,24
34,16,115.90625,290.96875,0,16,28
35,1,130.5095541401274,55.910828025477706,0,1,1
35,2,161.43636363636364,58.30909090909091,0,2,2
35,3,181.6969696969697,63.06060606060606,0,3,3
35,4,208.86021505376345,63.45161290322581,0,4,4
35,5,326.80748663101605,87.62032085561498,0,5,5
35,6,244.88888888888889,97.27777777777777,0,6,6
35,7,235.48453608247422,129.81443298969072,0,7,7
35,8,38.88709677419355,129.70967741935485,0,8,8
35,9,42.225806451612904,157.41935483870967,0,9,9
35,10,117.56172839506173,171.8148148148148,0,10,11
35,11,56.0,182.56363636363636,0,11,14
35,12,236.6086956521739,196.64492753623188,0,12,15
35,13,269.78205128205127,223.5,0,13,16
35,14,289.9186046511628,226.82558139534885,0,14,17
35,15,258.528,257.032,0,15,18
35,16,286.5625,267.175,0,16,19
35,17,116.96428571428571,290.69642857142856,0,17,23
35,18,154.73584905660377,300.47169811320754,0,18,24
36,1,129.64,55.57333333333333,0,1,1
36,2,161.96296296296296,58.24074074074074,0,2,2
36,3,180.6875,63.28125,0,3,3
36,4,208.13131313131314,63.333333333333336,0,4,4
36,5,326.7566137566138,87.63492063492063,0,5,6
36,6,245.20192307692307,96.8173076923077,0,6,7
36,7,235.08163265306123,130.80612244897958,0,7,8
36,8,38.86363636363637,129.54545454545453,0,8,9
36,9,117.44848484848485,171.63030303030303,0,9,13
36,10,56.627906976744185,183.93023255813952,0,10,17
36,11,236.98026315789474,196.69078947368422,0,11,18
36,12,269.2,223.675,0,12,19
36,13,292.11267605633805,227.22535211267606,0,13,20
36,14,258.3937007874016,257.1653543307087,0,14,22
36,15,286.92753623188406,267.6811594202899,0,15,23
36,16,116.56666666666666,290.78333333333336,0,16,25
37,1,129.2027027027027,55.54054054054054,0,1,1
37,2,180.01639344262296,63.39344262295082,0,2,7
37,3,208.12,63.35,0,3,8
37,4,334.8777777777778,82.5,0,4,9
37,5,247.13483146067415,94.50561797752809,0,5,10
37,6,318.7368421052632,92.73684210526316,0,6,11
37,7,234.94897959183675,131.1530612244898,0,7,13
37,8,38.98529411764706,129.51470588235293,0,8,14
37,9,117.50617283950618,171.46913580246914,0,9,17
37,10,57.48780487804878,185.2439024390244,0,10,21
37,11,237.59509202453987,196.68098159509202,0,11,22
37,12,269.24719101123594,223.73033707865167,0,12,23
37,13,292.2435897435897,227.39743589743588,0,13,24
37,14,258.2651515151515,257.32575757575756,0,14,26
37,15,287.64179104477614,268.02985074626866,0,15,28
37,16,116.80952380952381,290.95238095238096,0,16,30
37,17,155.89583333333334,301.0,0,17,33
38,1,130.04458598726114,55.98089171974522,0,1,1
38,2,208.30769230769232,63.63461538461539,0,2,3
38,3,179.27118644067798,63.76271186440678,0,3,4
38,4,335.4691358024691,82.01234567901234,0,4,6
38,5,245.8148148148148,96.11111111111111,0,5,7
38,6,317.4736842105263,93.3578947368421,0,6,8
38,7,234.57647058823528,132.0705882352941,0,7,9
38,8,39.16417910447761,129.11940298507463,0,8,10
38,9,121.37037037037037,162.41975308641975,0,9,14
38,10,113.57971014492753,181.02898550724638,0,10,17
38,11,229.06410256410257,194.39743589743588,0,11,21
38,12,246.28735632183907,198.8505747126437,0,12,22
38,13,268.79787234042556,223.80851063829786,0,13,23
38,14,292.51724137931035,227.60919540229884,0,14,24
38,15,257.8134328358209,257.44776119402985,0,15,25
38,16,289.280701754386,268.0701754385965,0,16,26
38,17,116.2063492063492,291.0,0,17,29
39,1,128.73239436619718,55.23943661971831,0,1,1
39,2,207.74766355140187,63.6822429906542,0,2,4
39,3,178.76363636363635,63.63636363636363,0,3,6
39,4,335.7922077922078,82.0,0,4,7
39,5,247.61627906976744,94.0,0,5,8
39,6,317.72527472527474,93.43956043956044,0,6,9
39,7,234.25581395348837,132.48837209302326,0,7,11
39,8,39.36231884057971,129.44927536231884,0,8,12
39,9,121.33333333333333,161.66666666666666,0,9,14
39,10,57.791666666666664,158.875,0,10,15
39,11,113.6376811594203,181.1159420289855,0,11,18
39,12,57.95454545454545,185.86363636363637,0,12,20
39,13,238.0,196.66060606060606,0,13,21
39,14,268.5,223.69565217391303,0,14,22
39,15,292.89156626506025,227.74698795180723,0,15,23
39,16,258.0735294117647,257.4852941176471,0,16,24
39,17,289.43636363636364,268.3818181818182,0,17,26
39,18,115.91525423728814,291.1864406779661,0,18,30
40,1,128.0236220472441,55.15748031496063,0,1,1
40,2,208.21428571428572,63.776785714285715,0,2,3
40,3,178.71929824561403,63.78947368421053,0,3,5
40,4,335.94202898550725,82.08695652173913,0,4,9
40,5,248.09876543209876,93.4320987654321,0,5,10
40,6,316.3854166666667,94.08333333333333,0,6,11
40,7,38.56716417910448,128.9402985074627,0,7,14
40,8,232.33928571428572,136.58928571428572,0,8,15
40,9,121.57894736842105,161.05263157894737,0,9,18
40,10,113.67142857142858,181.27142857142857,0,10,22
40,11,229.46835443037975,195.0506329113924,0,11,26
40,12,248.04651162790697,198.91860465116278,0,12,27
40,13,268.53061224489795,223.78571428571428,0,13,28
40,14,293.1058823529412,227.8235294117647,0,14,29
40,15,257.6861313868613,257.54014598540147,0,15,30
