ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number,Parent_FilteredNuclei,Parent_Watershed,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
18,8,1,1,232,151,231,150,231.0,150.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,231.0,150.0,0,26.56505117707799,3.0,7,6.0,100.0,4.47213595499958,6,8,8,8,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,9,1,1,281,159,280,158,280.0,158.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,280.0,158.0,0,144.53326337892258,8.374249620817295,5,2.0,100.0,9.602083107326237,11,9,9,9,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,10,183,561,301,191,284,158,293.08196721311475,171.75409836065575,2.75513660317788,240,0.9802900042235576,15.26443044094783,1,0.32620320855614976,0.3629584097015595,36.49463801306074,34.539832078341085,4.0,1.7689303729447514,1.4142135623730951,7.566827653247096,7.210024218989781,-19.475527052799066,79.59797974644667,0.7625,1,293.08196721311475,171.75409836065575,0,29.06700534796665,13.916435831068878,11,6.0,82.37762237762237,18.981914757990104,9,10,10,10,53.571167144869925,11.14021112845823,nan,62.98910439093373,110.0,9,0.8504830742216527,17.0,14,2.648896346973004,-10.820704788950565
18,11,5,16,282,170,278,166,279.8,167.6,0.20871517215470375,7,0.9761057837792816,2.5231325220201604,1,0.3125,4.791218528467976,6.055460379018585,4.242640687119285,1.0,1.0,1.0,0.7071067811865476,1.3158265836105036,-49.21348451074034,3.6213203435596424,0.7142857142857143,0,279.8,167.6,0,106.17422480530254,9.602083107326237,9,6.0,100.0,13.916435831068878,10,11,11,11,1.0471149431375812,1.0471149431375812,nan,1.0471149431375812,315.0,2,1.0,17.0,12,0.22307692307691696,1.0230769230769283
18,12,1,1,219,168,218,167,218.0,167.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,218.0,167.0,0,5.119368977513196,19.72308292331602,7,7.0,100.0,21.02379604162864,6,12,12,12,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,13,162,270,211,226,205,181,207.50617283950618,201.8148148148148,5.226970363247914,250,0.9954639943345929,14.361922094451577,1,0.6,0.19131541418930564,53.24540506827864,44.01136216933077,2.8284271247461903,1.3542482271955698,1.0,5.0,5.06571645713188,0.27834314825170875,103.15432893255071,0.648,1,207.50617283950618,201.8148148148148,0,168.1614537913303,36.36195455505887,12,9.0,100.0,52.37937711038167,25,13,13,13,69.77802479800586,7.188610301653375,nan,97.8885011660406,89.0,10,0.7128316806041075,17.0,18,-1.7805918663761702,-6.9645969498910745
18,14,1,1,288,191,287,190,287.0,190.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,287.0,190.0,0,21.501434324047903,4.123105625617661,15,2.0,100.0,8.602325267042627,16,14,14,14,34.54640888326423,8.180435430895328,nan,60.02932869337083,110.0,9,0.5754921741625151,17.0,14,-3.4330708661417475,7.425196850393689
18,15,1,1,287,195,286,194,286.0,194.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,286.0,194.0,0,140.9061411137705,4.123105625617661,14,4.0,100.0,5.0,16,15,15,15,30.449994955937754,12.255090386222397,nan,64.10398364869789,110.0,9,0.4750094022675651,17.0,14,-4.4330708661417475,11.42519685039369
18,16,1,1,283,198,282,197,282.0,197.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,282.0,197.0,0,17.59242456218161,5.0,15,7.0,100.0,8.602325267042627,14,16,16,16,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,17,113,297,307,236,296,209,301.0088495575221,222.52212389380531,3.0654365884415324,154,0.9852742036758704,11.994835078277376,1,0.38047138047138046,0.32621780655015925,31.167528936612264,27.51363298439521,2.8284271247461903,1.4212598969176813,1.0,5.375872022286245,5.329077249718531,18.268234211879243,65.97665940288702,0.7337662337662337,1,301.0088495575221,222.52212389380531,0,14.917308310910675,13.928726335845198,19,8.0,99.6,14.086588789005981,18,17,17,17,37.04167453205534,3.4484003250765065,nan,67.30086221726101,122.0,9,0.5503893012912257,17.0,19,-0.0508519350152028,-3.448025359926021
18,18,1,1,288,225,287,224,287.0,224.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,287.0,224.0,0,15.945395900922858,3.640054944640259,19,5.0,100.0,7.0,20,18,18,18,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,19,2,2,289,229,288,227,288.0,227.5,0.0,2,1.0,1.5957691216057308,1,1.0,inf,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,288.0,227.5,0,148.1092081981543,3.640054944640259,18,4.0,100.0,3.640054944640259,20,19,19,19,0.0,0.0,nan,0.0,nan,1,nan,0.0,0,0.0,0.0
18,20,1,1,288,232,287,231,287.0,231.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,287.0,231.0,0,129.940131153736,3.1202742044748506,21,4.0,100.0,3.640054944640259,19,20,20,20,4.935721056919341,2.3583113986624364,3.0,5.160125800950766,290.0,3,0.9565117687653899,17.0,23,-0.7714285714285438,-2.2285714285714278
18,21,12,20,291,236,287,231,288.75,233.58333333333334,0.6678668001274065,15,0.6030760447554607,3.9088200952233594,1,0.6,1.4973045520592334,4.8750760755038876,4.47213595499958,1.4142135623730951,1.0690355937288492,1.0,3.0,3.888768718622709,-21.97918666199501,10.035533905932738,0.8,0,288.75,233.58333333333334,0,125.79029586275396,3.1202742044748506,20,5.0,100.0,3.6381466588238367,22,21,21,21,2.9031187754066,1.040892909903167,3.0,3.842707312191496,290.0,3,0.7554878734053131,17.0,23,0.9785714285714562,0.35476190476191505
18,22,2,2,289,238,287,237,287.5,237.0,0.0,2,1.0,1.5957691216057308,1,1.0,inf,2.0,1.0,1.0,1.0,1.0,0.0,0.0,90.0,0.0,1.0,0,287.5,237.0,0,24.858872882631047,3.6381466588238367,21,8.0,100.0,6.020797289396148,20,22,22,22,1.1563515050925688,3.7811832723071626,3.0,6.582997674595491,290.0,3,0.17565728597399569,17.0,23,-0.2714285714285438,3.7714285714285722
18,23,239,589,200,258,169,239,183.34728033472803,248.4560669456067,2.3616497596279618,284,0.9675731460631772,17.44431859350499,1,0.4057724957555178,0.42343281255961224,36.07100430646551,32.31098884280702,5.0,2.097298424589831,2.0,9.391485505499118,9.11121060154125,-65.61623792209191,84.2193000900063,0.8415492957746479,1,183.34728033472803,248.4560669456067,0,13.022777286279208,17.358942446331113,26,5.0,75.61260210035006,20.41971067261636,25,23,23,23,27.598631851361898,6.264500988248923,nan,87.64806485891089,89.0,10,0.31488010483503603,17.0,24,-4.591850100054586,-4.2613243587411205
18,24,215,546,314,285,300,246,305.9953488372093,263.9813953488372,3.392653989667135,268,0.9886709167130009,16.545286401814263,1,0.39377289377289376,0.29475449104024704,43.77597171301572,39.56008088970496,3.1622776601683795,1.7278324969651389,1.4142135623730951,6.841052550594828,6.570745421126313,-14.267699680429057,95.74011537017762,0.8022388059701493,1,305.9953488372093,263.9813953488372,0,21.998078394652623,14.093686376294032,28,9.0,79.52,15.029904929338858,31,24,24,24,5.379380300625423,4.133111085479656,nan,5.412403910281933,293.0,3,0.9938985319270471,17.0,25,4.065937072503402,-0.7421340629275051
18,25,1,1,204,255,203,254,203.0,254.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,203.0,254.0,0,57.63336193527502,2.0,27,6.0,100.0,5.253718920916877,26,25,25,25,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,26,16,35,202,260,195,255,198.5625,256.8125,1.0089071258500075,26,0.8595427969613576,4.51351666838205,1,0.45714285714285713,0.9911715106160013,8.081800249967774,6.708203932499369,1.4142135623730951,1.0258883476483185,1.0,3.395498750508662,4.13031532932061,-74.65811474993318,14.242640687119284,0.6153846153846154,0,198.5625,256.8125,0,21.990793144673955,4.511270608154647,27,5.0,100.0,5.253718920916877,25,26,26,26,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,27,1,1,204,257,203,256,203.0,256.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,203.0,256.0,0,100.37584492005107,2.0,25,3.0,100.0,4.511270608154647,26,27,27,27,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,28,5,8,294,262,292,258,292.6,259.6,0.3399008731032448,6,0.9182452525973078,2.5231325220201604,1,0.625,2.9420342197716285,4.2075668058156825,3.1622776601683795,1.0,1.0,1.0,1.0,1.6662477530661568,15.48187826603676,4.621320343559642,0.8333333333333334,0,292.6,259.6,0,19.405361697422897,3.580502757993626,30,4.0,100.0,5.632051136131474,31,28,28,28,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,29,310,1320,209,305,179,261,192.90967741935484,282.01290322580644,3.5671821207834182,378,0.9914503435711762,19.867165345562018,1,0.23484848484848486,0.280333318047799,56.698383640402504,50.24937810560445,4.0,1.8957912440493925,2.0,7.37443916112788,7.398262736964323,31.55713313711437,117.88225099390856,0.8201058201058201,1,192.90967741935484,282.01290322580644,0,86.96593556391015,23.48650513014056,35,7.0,98.60335195530726,25.826628232726925,26,29,29,29,12.575323244716273,4.351806734780202,nan,105.12657537158846,89.0,10,0.11962078285406492,17.0,35,-3.0658470561696447,-3.0884953755921742
