CellId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
46.0,24.5479202270508,33.62152808904648,0.182,32.0,0.006
47.0,23.3431625366211,33.12927448749542,-0.038,32.0,0.013
48.0,14.5539903640747,13.834439277648901,1.841,2.0,-0.035
49.0,15.3692684173584,15.3692684173584,0.0,1.0,0.0
50.0,26.5298042297363,26.209056218465168,0.349,3.0,0.0
51.0,26.1113433837891,35.81631978352865,0.336,27.0,0.016
52.0,43.6442413330078,35.2841796875,-0.959,4.0,-0.077
53.0,38.1242256164551,36.3998908996582,-0.36,4.0,-0.053
54.0,60.3286361694336,62.939352989196806,0.594,4.0,0.012
55.0,23.2354278564453,30.218206859770277,-0.124,21.0,0.012
56.0,24.4647960662842,24.9912271499634,-0.211,4.0,0.003
57.0,27.1590423583984,27.16752529144285,0.339,2.0,0.0
58.0,35.0265274047852,37.117856502532966,0.251,8.0,0.011
59.0,48.8166046142578,40.06189250946043,-3.876,4.0,-0.099
60.0,24.1145935058594,28.113607406616204,-0.059,20.0,0.0
61.0,58.2460250854492,53.47237682342528,0.645,4.0,-0.026
62.0,32.0178184509277,35.23998911240522,0.17,17.0,0.007
63.0,29.0372066497803,34.091280207914465,-0.064,17.0,0.013
64.0,21.5006847381592,21.7879015604655,0.339,3.0,0.007
65.0,28.9021816253662,29.84274448047984,-0.076,11.0,-0.018
66.0,27.5687732696533,28.2886905670166,0.197,2.0,0.017
67.0,26.031810760498,33.25054130554199,-0.025,25.0,0.013
68.0,23.5258731842041,23.6246954600016,-0.096,3.0,0.005
69.0,27.3751125335693,25.275574684143052,0.05,2.0,-0.056
70.0,15.7699317932129,15.7699317932129,0.0,1.0,0.0
71.0,15.9266195297241,15.9266195297241,0.0,1.0,0.0
72.0,21.1902370452881,20.6126275062561,-0.304,4.0,-0.001
74.0,40.1310157775879,37.40244960784909,-0.118,4.0,-0.021
76.0,13.225513458252,13.225513458252,0.0,1.0,0.0
77.0,21.2924270629883,21.2924270629883,0.0,1.0,0.0
78.0,8.06583976745605,8.06583976745605,0.0,1.0,0.0
79.0,11.9313669204712,16.61183500289915,-0.488,2.0,0.193
80.0,15.4810495376587,15.4810495376587,0.0,1.0,0.0
82.0,19.0066661834717,19.0066661834717,0.0,1.0,0.0
83.0,17.8998908996582,17.8998908996582,0.0,1.0,0.0
84.0,26.6280422210693,37.68494960239956,-0.193,28.0,0.016
85.0,28.4070701599121,39.557501912117004,-0.017,32.0,0.014
86.0,26.877010345459,34.95518430074056,-0.307,33.0,0.003
87.0,23.6460933685303,28.117523713545367,-0.031,22.0,0.004
88.0,19.8493995666504,31.206778717041022,-0.304,20.0,0.0
89.0,14.4501991271973,14.4501991271973,0.0,1.0,0.0
90.0,21.3336124420166,34.88960087299347,-0.319,32.0,0.02
91.0,25.9725131988525,25.882351875305147,0.445,2.0,-0.002
92.0,18.5193367004395,18.5193367004395,0.0,1.0,0.0
93.0,18.4234371185303,18.4234371185303,0.0,1.0,0.0
95.0,17.8278350830078,18.783393859863274,-0.486,4.0,0.016
96.0,10.4277324676514,10.4277324676514,0.0,1.0,0.0
97.0,15.5918407440186,15.5918407440186,0.0,1.0,0.0
98.0,15.5236654281616,34.8093724074187,-0.089,27.0,0.025
99.0,26.5674610137939,36.046846135457365,0.094,30.0,0.0
100.0,22.6333255767822,30.634110867977135,-0.263,32.0,0.002
101.0,23.0712642669678,25.39194469451904,-0.32,10.0,0.017
102.0,19.8842658996582,19.8842658996582,0.0,1.0,0.0
103.0,21.0657215118408,29.104097629415577,0.391,29.0,0.001
104.0,18.9792041778564,19.674650510152166,-0.051,6.0,0.009
105.0,17.6325340270996,17.6325340270996,0.0,1.0,0.0
106.0,20.3108100891113,20.3108100891113,0.0,1.0,0.0
107.0,17.0030841827393,17.0030841827393,0.0,1.0,0.0
108.0,25.2911415100098,36.29196584792364,0.43,21.0,0.022
109.0,23.7639923095703,32.57473338091815,0.273,27.0,0.001
110.0,26.693452835083,34.27186775207519,-0.397,27.0,0.01
111.0,23.2750110626221,29.597425212030835,0.149,23.0,0.004
112.0,18.6620502471924,23.322850646972658,-0.097,25.0,0.011
113.0,20.5745525360107,23.798134630376637,0.287,22.0,0.008
114.0,27.8786144256592,38.970000474349305,0.095,23.0,0.012
115.0,25.877368927002,35.433539163498665,-0.382,21.0,0.02
116.0,33.6061592102051,33.6061592102051,0.0,1.0,0.0
117.0,23.4172763824463,23.4172763824463,0.0,1.0,0.0
118.0,25.141845703125,35.34758658636185,0.088,21.0,0.017
119.0,26.9782047271729,34.33672332763674,-0.315,6.0,0.006
120.0,22.5827732086182,26.839277148246776,-0.339,16.0,-0.002
121.0,8.72415256500244,34.83975724379223,-1.031,24.0,0.026
122.0,36.7216377258301,40.0413818359375,-0.349,2.0,0.055
123.0,21.3330917358398,21.3330917358398,0.0,1.0,0.0
124.0,16.0020923614502,16.0020923614502,0.0,1.0,0.0
125.0,22.9655475616455,25.644645881652856,-0.47,10.0,-0.015
126.0,19.6630802154541,19.608922958374002,-0.357,2.0,-0.002
127.0,21.0973262786865,25.206488227844247,0.001,20.0,0.024
128.0,7.67869853973389,7.67869853973389,0.0,1.0,0.0
129.0,21.8430099487305,21.8430099487305,0.0,1.0,0.0
131.0,26.9441394805908,27.450633525848374,-0.333,4.0,0.008
132.0,24.0108261108398,25.717689990997318,-0.151,12.0,-0.001
133.0,23.239143371582,26.57179069519044,0.016,11.0,0.016
134.0,22.3814849853516,25.647696971893325,-0.674,4.0,0.051
135.0,27.2237396240234,31.700443527915255,-0.282,22.0,0.01
136.0,31.8350868225098,31.8350868225098,0.0,1.0,0.0
137.0,17.5437145233154,21.891812801361052,-0.806,4.0,0.063
138.0,10.5599536895752,10.5599536895752,0.0,1.0,0.0
139.0,27.8230438232422,27.965490976969402,-0.907,9.0,-0.015
140.0,20.8189029693604,20.8189029693604,0.0,1.0,0.0
141.0,22.6393127441406,22.8349962234497,0.427,2.0,0.006
142.0,28.5655097961426,29.097256978352902,-1.077,6.0,0.021
143.0,25.4828586578369,25.4828586578369,0.0,1.0,0.0
144.0,22.3078231811523,34.19736996818991,-0.618,34.0,0.013
145.0,21.7899684906006,21.7899684906006,0.0,1.0,0.0
146.0,23.809513092041,23.809513092041,0.0,1.0,0.0
147.0,30.4522476196289,35.29958724975586,-0.205,8.0,0.024
148.0,11.0638723373413,11.0638723373413,0.0,1.0,0.0
149.0,23.6339702606201,31.06131378809612,-0.231,24.0,0.02
150.0,13.4855041503906,35.62053230830601,0.222,14.0,0.063
151.0,28.5020656585693,35.121354103088365,0.435,6.0,0.03
154.0,11.0281400680542,11.0281400680542,0.0,1.0,0.0
155.0,18.6160907745361,18.6160907745361,0.0,1.0,0.0
156.0,25.4661407470703,40.9207191467285,-0.255,4.0,0.107
157.0,35.7168006896973,35.747248331705734,0.583,3.0,-0.011
158.0,2.24360251426697,2.24360251426697,0.0,1.0,0.0
159.0,38.9864349365234,45.201687812805176,0.142,8.0,0.02
160.0,22.0073928833008,24.133517371283645,-0.412,9.0,0.029
161.0,12.4139919281006,12.4139919281006,0.0,1.0,0.0
162.0,23.6144237518311,23.6144237518311,0.0,1.0,0.0
163.0,19.7832260131836,19.420738220214833,-0.481,3.0,-0.007
164.0,13.8564329147339,13.8564329147339,0.0,1.0,0.0
165.0,25.1897296905518,25.1897296905518,0.0,1.0,0.0
166.0,22.2038326263428,22.2038326263428,0.0,1.0,0.0
167.0,20.5315532684326,20.31278705596925,0.08,2.0,-0.007
168.0,20.3452548980713,20.3452548980713,0.0,1.0,0.0
169.0,20.7300930023193,20.7300930023193,0.0,1.0,0.0
170.0,20.7383804321289,21.8499822616577,-0.042,4.0,0.023
171.0,26.1230564117432,27.382429122924826,0.609,4.0,0.018
172.0,24.1325511932373,25.8817882537842,-0.143,2.0,0.045
173.0,27.1854248046875,33.471917545094215,-0.12,17.0,0.018
174.0,29.1850395202637,27.599194844563836,0.118,3.0,-0.036
175.0,3.37301206588745,3.37301206588745,0.0,1.0,0.0
176.0,10.5362148284912,10.5362148284912,0.0,1.0,0.0
177.0,26.6417770385742,32.07813939181239,-0.323,11.0,0.028
178.0,20.2501754760742,20.2501754760742,0.0,1.0,0.0
179.0,21.7747859954834,21.7747859954834,0.0,1.0,0.0
180.0,5.71541309356689,5.71541309356689,0.0,1.0,0.0
181.0,24.1844940185547,24.1844940185547,0.0,1.0,0.0
182.0,29.751838684082,35.442479793842026,-0.126,13.0,0.026
183.0,25.4822883605957,28.76367256858132,-0.124,11.0,-0.0
184.0,3.62266492843628,3.62266492843628,0.0,1.0,0.0
185.0,26.3414096832275,26.037023544311527,-0.252,4.0,-0.008
186.0,20.4038467407227,22.194050128643337,0.197,13.0,0.011
187.0,21.6489295959473,25.266145377323554,-0.156,29.0,0.007
188.0,22.2107105255127,20.801890373230002,-0.695,2.0,-0.045
189.0,29.179515838623,31.557431030273413,-0.338,5.0,-0.002
190.0,24.2567310333252,22.2647075653076,-0.345,2.0,-0.06
