CellLifeId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
41.0,20.916820526123,39.1752744809849,-0.003,254.0,0.002
43.0,23.0921764373779,29.351434898376464,0.099,30.0,0.011
44.0,20.6466064453125,32.555061452528996,0.037,34.0,0.016
45.0,22.7896518707275,33.4029908074273,0.185,45.0,0.012
46.0,21.8486824035645,30.706742989389515,0.258,38.0,0.011
47.0,16.4755382537842,26.007264579214702,0.221,41.0,0.014
48.0,18.3352031707764,26.948717890559013,0.155,37.0,0.014
49.0,17.6102046966553,26.86667723882767,0.192,42.0,0.013
50.0,20.5443172454834,28.54034112629138,0.2,38.0,0.014
51.0,29.9437637329102,34.12981832027435,0.135,16.0,0.012
52.0,27.5083332061768,35.17060699462892,0.367,20.0,0.016
53.0,16.0578536987305,16.0578536987305,0.0,1.0,0.0
54.0,18.8221817016602,23.90931309824405,0.111,92.0,0.006
55.0,20.506799697876,29.767514677608716,-0.153,34.0,0.013
56.0,22.1230449676514,37.84279907040479,-0.124,41.0,0.015
57.0,18.279275894165,30.258524509898404,0.116,57.0,0.013
58.0,18.3326263427734,29.28357394291804,-0.071,65.0,0.011
59.0,17.6695156097412,27.48274915646284,-0.147,39.0,0.016
60.0,20.7179336547852,30.41722297668457,0.075,44.0,0.013
61.0,20.7523288726807,30.321450097220293,0.346,35.0,0.012
62.0,20.3213329315186,33.301593562534876,0.144,35.0,0.018
63.0,19.0822429656982,26.21715146845037,-0.046,33.0,0.013
64.0,20.433967590332,30.291382499363113,0.007,46.0,0.01
65.0,21.2400646209717,31.680875547004476,-0.154,33.0,0.014
66.0,19.3974380493164,28.251672710691178,-0.056,56.0,0.004
67.0,20.2594814300537,28.875094223022455,-0.164,30.0,0.017
68.0,18.6831970214844,26.731888606630527,-0.126,29.0,0.017
69.0,24.1776561737061,29.060864448547363,-0.281,30.0,0.007
70.0,20.9176559448242,30.497411233407476,-0.182,27.0,0.019
71.0,17.2126617431641,17.2126617431641,0.0,1.0,0.0
72.0,19.057804107666,24.79641546521868,-0.201,28.0,0.013
73.0,13.1579532623291,13.1579532623291,0.0,1.0,0.0
74.0,21.0837917327881,21.689164508472786,0.151,22.0,0.006
75.0,24.3407115936279,31.542111848530016,0.196,19.0,0.015
76.0,21.426549911499,21.47001218795776,-0.202,12.0,0.001
77.0,17.9527034759521,18.1244079589844,0.37,5.0,-0.001
78.0,21.343656539917,29.89642889603325,-0.048,23.0,0.018
79.0,25.0154476165771,41.92765269740935,0.094,62.0,0.008
80.0,25.7596950531006,35.74449133872986,0.022,32.0,0.014
81.0,29.0510787963867,36.35051565170288,-0.178,20.0,0.015
82.0,28.1751270294189,36.36625075340272,-0.023,24.0,0.015
84.0,19.9811916351318,22.072475910186746,-1.25,4.0,0.027
85.0,20.6818904876709,27.770177841186523,0.364,22.0,0.019
86.0,20.4613227844238,32.93484196518407,0.108,33.0,0.015
87.0,25.1167049407959,33.738365570704154,0.273,24.0,0.016
88.0,26.0435733795166,32.94774969692888,-0.074,29.0,0.013
89.0,13.8157529830933,13.8157529830933,0.0,1.0,0.0
90.0,23.814115524292,26.880919320242747,-0.059,14.0,0.008
91.0,17.795503616333,21.341862996419266,0.328,3.0,0.11
92.0,20.2779808044434,31.076178232828784,-0.161,33.0,0.011
93.0,17.5897903442383,26.37157440185547,-0.208,29.0,0.02
94.0,18.9279384613037,26.398453565744248,-0.145,26.0,0.017
95.0,21.1003570556641,22.36194858551026,0.06,10.0,0.012
96.0,20.8913402557373,24.912169575691205,0.229,16.0,0.015
97.0,10.0517311096191,10.0517311096191,0.0,1.0,0.0
98.0,22.3681507110596,29.359822613852366,0.105,28.0,0.015
99.0,9.45065593719482,9.45065593719482,0.0,1.0,0.0
100.0,18.1714534759521,18.1714534759521,0.0,1.0,0.0
101.0,11.8107957839966,11.8107957839966,0.0,1.0,0.0
102.0,13.8852834701538,13.8852834701538,0.0,1.0,0.0
103.0,23.865701675415,32.55962129739615,0.189,26.0,0.018
104.0,21.3658828735352,30.365671316782628,0.098,24.0,0.02
105.0,20.1807060241699,30.791623306274406,-0.273,30.0,0.019
106.0,24.1103096008301,34.23732908840837,0.138,29.0,0.018
107.0,19.3675689697266,18.5359344482422,0.131,3.0,-0.031
108.0,22.0621681213379,30.44024291405312,0.17,26.0,0.017
109.0,21.3510398864746,30.673198515369048,-0.119,31.0,0.015
110.0,21.6435089111328,31.69085467303241,-0.048,27.0,0.016
111.0,15.6672077178955,15.6672077178955,0.0,1.0,0.0
113.0,22.7265586853027,36.25714732982494,-0.235,27.0,0.021
114.0,24.0918254852295,32.90870372454326,0.228,24.0,0.019
115.0,21.9805507659912,32.38311083176557,-0.009,34.0,0.015
116.0,24.942045211792,32.12200192844167,-0.21,34.0,0.011
117.0,21.3218288421631,22.25828590393066,-0.474,5.0,0.03
118.0,21.2794971466064,35.83481141211281,-0.177,71.0,0.009
119.0,17.5656795501709,24.267394091631914,-0.623,37.0,0.015
120.0,5.66824340820313,5.66824340820313,0.0,1.0,0.0
121.0,18.8212833404541,18.7597961425781,0.368,2.0,-0.002
122.0,23.4151287078857,38.23385756948719,-0.055,46.0,0.012
123.0,16.721586227417,27.657721246991848,0.228,28.0,0.023
124.0,16.9470157623291,25.925243801540805,-0.117,36.0,0.013
125.0,21.0155258178711,29.82334465816104,-0.059,29.0,0.011
126.0,22.5213012695313,33.03827134768169,0.373,24.0,0.019
127.0,24.0346374511719,37.39239256722586,0.088,35.0,0.016
128.0,25.0119895935059,39.292096788232975,0.015,44.0,0.013
129.0,17.7110862731934,26.5257967540196,-0.197,28.0,0.021
130.0,19.7045955657959,26.95921012333462,-0.149,28.0,0.015
131.0,18.590353012085,25.001015663146973,-0.142,26.0,0.014
132.0,19.385814666748,21.249533240000407,-0.075,30.0,0.0
133.0,22.150691986084,27.02478521010455,0.328,17.0,0.017
134.0,27.4741325378418,30.656803585234137,-0.166,21.0,0.01
135.0,11.4403276443481,11.4403276443481,0.0,1.0,0.0
136.0,20.26003074646,29.00271381031384,-0.299,33.0,0.014
137.0,21.182897567749,29.029251019159943,-0.046,24.0,0.016
138.0,24.154634475708,24.0082857131958,0.572,10.0,-0.001
139.0,8.81280517578125,8.81280517578125,0.0,1.0,0.0
140.0,26.3180637359619,30.845502599080415,0.642,15.0,0.019
141.0,19.7654628753662,28.64760003266511,-0.016,27.0,0.018
142.0,20.4041709899902,28.84207109304575,0.289,26.0,0.018
143.0,23.6893920898438,28.54486397334508,0.768,14.0,0.015
144.0,25.5637359619141,26.975154590606678,0.165,20.0,0.006
145.0,23.2484169006348,25.458316087722785,0.853,8.0,0.022
146.0,26.7642059326172,28.265153067452566,-0.498,49.0,0.003
147.0,23.5834884643555,24.401609792941958,-0.06,41.0,0.005
148.0,24.7221240997314,36.165292033442746,-0.086,27.0,0.018
149.0,21.9281597137451,31.81553749084472,-0.329,25.0,0.019
150.0,22.3189239501953,31.473329952784955,-0.72,28.0,0.015
151.0,18.1193866729736,18.1193866729736,0.0,1.0,0.0
152.0,23.3474464416504,32.54746997717655,-0.039,33.0,0.013
153.0,13.1685180664063,13.1685180664063,0.0,1.0,0.0
154.0,26.7346420288086,33.10755692995512,0.077,26.0,0.011
155.0,21.3492183685303,32.17322978266963,-0.056,27.0,0.017
156.0,22.489688873291,31.549211343129475,0.117,24.0,0.018
157.0,5.86362266540527,5.86362266540527,0.0,1.0,0.0
158.0,10.54700756073,10.54700756073,0.0,1.0,0.0
159.0,24.0029640197754,36.21400913825401,-0.413,26.0,0.022
160.0,25.334680557251,36.426663589477535,-0.36,30.0,0.016
161.0,21.7675495147705,29.356426499106682,-0.275,22.0,0.019
162.0,21.0639381408691,19.31188621520996,-0.356,5.0,-0.032
164.0,22.2422065734863,22.791516621907533,-0.504,3.0,0.005
165.0,15.3035192489624,15.3035192489624,0.0,1.0,0.0
166.0,12.4764442443848,12.4764442443848,0.0,1.0,0.0
167.0,13.5166730880737,13.5166730880737,0.0,1.0,0.0
168.0,56.6118774414063,57.84622764587405,-0.76,2.0,0.014
169.0,20.5642051696777,35.28965279151654,-0.385,29.0,0.021
170.0,22.1815490722656,30.803444442749033,0.104,25.0,0.016
171.0,12.5333738327026,12.5333738327026,0.0,1.0,0.0
172.0,45.5022201538086,53.494981553819436,0.42,18.0,0.012
173.0,17.4434700012207,26.338262487340867,0.583,27.0,0.02
174.0,17.3044395446777,23.489372976895044,0.476,29.0,0.014
175.0,17.1612396240234,32.42645497322083,0.323,40.0,0.016
176.0,22.3064441680908,22.67013754163469,0.021,14.0,-0.01
177.0,20.3022727966309,25.216448727776037,0.275,17.0,0.019
178.0,21.7329235076904,40.97814055548774,0.264,45.0,0.013
179.0,16.9008693695068,25.3110106256273,-0.22,36.0,0.001
180.0,21.0328140258789,28.24227399411408,-0.691,23.0,0.016
181.0,19.8176307678223,19.1436014175415,0.591,2.0,-0.023
182.0,6.49601459503174,6.49601459503174,0.0,1.0,0.0
184.0,25.2389049530029,30.409827252651784,-0.195,47.0,0.005
185.0,18.3662719726563,21.95505723086272,0.039,22.0,0.011
186.0,3.78457069396973,3.78457069396973,0.0,1.0,0.0
187.0,16.3564052581787,16.3564052581787,0.0,1.0,0.0
188.0,19.8799781799316,29.821066589355464,-0.052,25.0,0.02
189.0,15.5930624008179,26.10899622099741,-0.126,28.0,0.023
190.0,18.3159942626953,27.14016437530517,0.224,32.0,0.019
191.0,21.4193096160889,22.285845947265624,-0.222,15.0,-0.01
192.0,16.3210639953613,16.3210639953613,0.0,1.0,0.0
193.0,17.1302909851074,25.98036205768586,-0.124,32.0,0.013
194.0,18.3362617492676,26.622874290712414,-0.256,31.0,0.012
195.0,16.6956672668457,16.6956672668457,0.0,1.0,0.0
196.0,20.6493873596191,21.727369944254534,-0.677,3.0,0.023
197.0,16.2387847900391,16.2387847900391,0.0,1.0,0.0
198.0,20.2230854034424,23.430411118727474,0.317,13.0,0.009
199.0,17.6945762634277,24.254512440074578,0.261,22.0,0.02
200.0,20.7261905670166,26.2857084274292,0.07,20.0,0.017
201.0,22.2064628601074,29.238347787123455,0.232,26.0,0.014
202.0,20.141845703125,29.83878936767578,0.348,25.0,0.015
203.0,24.2573852539063,26.97679247174944,0.183,21.0,-0.0
204.0,23.872049331665,32.12642565640536,0.555,33.0,0.007
205.0,24.1193141937256,24.66378269195556,0.504,10.0,0.007
206.0,27.3141040802002,38.34406926081731,0.857,26.0,0.019
207.0,18.3663940429688,20.394212622391546,0.223,19.0,0.005
208.0,20.04860496521,27.873556518554686,0.447,30.0,0.014
209.0,14.6102514266968,14.6102514266968,0.0,1.0,0.0
210.0,23.1363487243652,23.1363487243652,0.0,1.0,0.0
211.0,21.9536075592041,32.2961528301239,-0.096,24.0,0.019
212.0,23.465690612793,26.673428284494495,-0.306,19.0,-0.006
213.0,18.763204574585,21.11078453063965,-0.514,4.0,0.031
214.0,20.4318161010742,19.918281979031033,0.36,9.0,-0.01
215.0,17.8629589080811,17.8629589080811,0.0,1.0,0.0
216.0,25.4646224975586,29.81655802045551,0.415,35.0,0.005
217.0,28.3714199066162,40.404011869430555,0.439,40.0,0.009
218.0,26.9211921691895,25.712438719613214,0.334,14.0,-0.023
219.0,22.6716270446777,31.679509480794255,0.498,24.0,0.017
220.0,21.9689521789551,30.907919963200893,0.21,24.0,0.018
221.0,10.3188571929932,10.3188571929932,0.0,1.0,0.0
222.0,9.22561073303223,9.22561073303223,0.0,1.0,0.0
223.0,25.5011558532715,32.935264905293785,0.385,24.0,0.013
224.0,31.226469039917,39.77094268798828,0.33,19.0,0.018
225.0,22.0310363769531,29.862475908719578,-0.226,26.0,0.009
226.0,26.8859977722168,30.08492309570312,-0.227,25.0,0.011
227.0,25.4039707183838,27.110761404037486,-0.265,8.0,0.014
228.0,30.5147399902344,31.615085601806626,0.081,15.0,-0.021
229.0,13.5704221725464,13.5704221725464,0.0,1.0,0.0
230.0,24.959114074707,28.469245130365554,0.208,22.0,0.008
231.0,18.0542411804199,17.3778657913208,0.012,2.0,-0.026
232.0,28.7360496520996,34.801583440680254,-0.006,19.0,0.012
233.0,19.0693473815918,22.759778976440433,0.157,26.0,-0.002
234.0,20.6751194000244,29.31421581904094,0.135,24.0,0.019
235.0,18.1749706268311,20.1054265499115,0.094,8.0,0.014
236.0,20.882194519043,29.109075828834825,0.439,27.0,0.018
237.0,15.0834636688232,15.0834636688232,0.0,1.0,0.0
238.0,7.87888956069946,7.87888956069946,0.0,1.0,0.0
239.0,5.28252077102661,5.28252077102661,0.0,1.0,0.0
240.0,18.4888668060303,21.77892541885377,0.844,12.0,0.02
241.0,19.9437084197998,21.79345879187952,1.027,13.0,0.004
242.0,18.2238101959229,18.553240203857438,0.616,5.0,0.008
243.0,26.3605422973633,25.658451676368706,0.201,32.0,-0.004
244.0,24.3388481140137,34.86437940597534,0.314,24.0,0.019
245.0,17.6488590240479,27.773598194122314,0.545,24.0,0.022
246.0,16.0213603973389,18.383725929260272,0.688,10.0,0.021
247.0,10.5871906280518,10.5871906280518,0.0,1.0,0.0
248.0,12.7630453109741,12.7630453109741,0.0,1.0,0.0
250.0,15.3223180770874,15.3223180770874,0.0,1.0,0.0
251.0,6.44881105422974,6.44881105422974,0.0,1.0,0.0
252.0,24.4370098114014,24.576379564073367,0.024,9.0,-0.002
253.0,18.2636108398438,28.51240885257721,-0.137,32.0,0.015
254.0,18.8255138397217,19.420300347464426,-0.45,7.0,0.007
255.0,9.5186071395874,9.5186071395874,0.0,1.0,0.0
256.0,21.9187774658203,31.629675521850594,-0.3,25.0,0.019
257.0,17.5838680267334,16.939918790544784,0.311,7.0,-0.007
258.0,19.7156963348389,29.664513383592883,0.462,28.0,0.021
259.0,12.6890802383423,12.6890802383423,0.0,1.0,0.0
260.0,19.1196670532227,19.6777261098226,0.084,3.0,0.007
261.0,19.8537578582764,21.88358795642853,-0.187,16.0,-0.004
262.0,22.5744075775146,22.5744075775146,0.0,1.0,0.0
264.0,23.9100761413574,30.09291954040527,-0.186,20.0,0.01
265.0,22.914493560791,35.02417726869937,0.45,27.0,0.019
266.0,24.0416946411133,34.85084304809571,0.486,25.0,0.014
267.0,22.3101577758789,27.907268645915575,-0.449,47.0,0.007
268.0,25.0610332489014,33.94910907745361,-0.226,24.0,0.019
270.0,15.5844478607178,15.5844478607178,0.0,1.0,0.0
271.0,15.4847097396851,15.4847097396851,0.0,1.0,0.0
272.0,34.9860763549805,38.1192820318814,-0.043,29.0,0.002
273.0,20.502067565918,27.138450516594773,-0.223,18.0,0.024
274.0,21.2349052429199,31.341428332858616,-0.622,27.0,0.02
275.0,21.3608150482178,29.21810722351075,0.028,20.0,0.021
276.0,16.9221725463867,16.9221725463867,0.0,1.0,0.0
277.0,19.9743061065674,19.59121894836427,-0.28,3.0,-0.005
278.0,25.4846153259277,27.2296154315655,-0.018,13.0,-0.013
279.0,20.9759159088135,30.072667635404137,-0.458,26.0,0.019
280.0,24.0711154937744,31.35221662521363,-0.183,20.0,0.017
281.0,12.4252319335938,12.4252319335938,0.0,1.0,0.0
282.0,13.0249357223511,13.0249357223511,0.0,1.0,0.0
283.0,19.6683597564697,27.083294246507734,0.171,23.0,0.017
284.0,19.6616821289063,25.532475347104285,0.127,23.0,0.015
285.0,23.3485717773438,35.388721234870694,-0.455,33.0,0.016
286.0,15.4668130874634,15.06968212127685,0.18,2.0,-0.018
287.0,14.9808444976807,14.9808444976807,0.0,1.0,0.0
288.0,15.1641044616699,15.1641044616699,0.0,1.0,0.0
289.0,5.3224573135376,5.3224573135376,0.0,1.0,0.0
290.0,23.5367031097412,21.682739496231083,-0.259,24.0,-0.008
292.0,26.5165634155273,23.122352600097678,0.183,8.0,-0.023
