TimeStep,ObjectNumber,Orientation,lable,Center_X,Center_Y,divideFlag
9,7,-24.815241634794216,13.0,263.64921465968587,292.9528795811518,False
9,17,54.16566996565584,13.0,280.09090909090907,295.90909090909093,False
9,29,17.018999395686066,13.0,283.1945945945946,350.1189189189189,False
10,1,-8.462526852581913,66.0,226.35507246376807,177.16666666666666,False
10,2,1.4856100837586492,67.0,242.87459807073955,184.32154340836013,False
10,21,-1.0470746876396064,7.0,278.94498381877025,258.0194174757282,True
10,30,19.427850900713832,94.0,199.1400778210117,271.0894941634241,False
10,45,-38.68355193367429,13.0,258.9341317365269,305.8502994011976,True
10,48,9.213082154191934,111.0,230.20574162679424,319.6363636363636,False
11,1,15.438553184054362,112.0,261.0115606936416,172.59537572254337,False
11,2,-0.4109380292804689,67.0,245.4077253218884,180.66523605150212,True
11,3,-15.13401819368715,66.0,227.87878787878788,189.9158249158249,True
11,6,9.43125512771101,115.0,282.24347826086955,224.2173913043478,True
11,8,-34.538099073157504,94.0,207.2167487684729,240.935960591133,True
11,16,0.0160125383386652,7.0,283.5869565217391,240.06521739130437,False
11,21,3.569334868850926,127.0,299.6525974025974,259.538961038961,True
11,23,15.86889971489007,7.0,283.7826086956522,252.82608695652172,False
11,40,-34.32616929832007,13.0,274.6482412060301,293.4170854271357,True
11,45,-37.5618034930916,145.0,280.6051136363636,310.61647727272725,True
11,46,10.570071831081304,111.0,234.3832853025937,323.6541786743516,False
11,50,5.48042382519187,13.0,250.78082191780825,332.2146118721461,False
12,1,15.383302100058811,112.0,256.0208333333333,172.50694444444446,True
12,2,12.647424526469631,67.0,240.36702127659572,172.8244680851064,False
12,3,-0.7663233545158764,66.0,223.92672413793105,176.61206896551724,True
12,4,7.966686495469651,66.0,223.19402985074623,196.1044776119403,False
12,6,45.0,67.0,244.8,195.8,False
12,11,7.405892795476032,115.0,277.719298245614,213.2017543859649,False
12,13,-38.71041925393569,94.0,200.95529411764707,235.8329411764706,False
12,18,40.26883889598719,115.0,279.0,224.66666666666663,False
12,21,5.9053734110215945,127.0,293.7457627118644,236.6864406779661,False
12,24,-2.264066021565528,156.0,278.27027027027026,238.1891891891892,True
12,28,7.7143811183290625,127.0,295.8453608247423,259.3556701030928,False
12,31,8.591389360027568,94.0,208.1379310344828,275.0896551724138,False
12,35,45.0,165.0,260.6666666666667,269.6666666666667,False
12,36,-30.01007260375494,13.0,275.6776859504132,282.74380165289256,False
12,46,-30.444426884097133,145.0,287.1445086705202,293.34104046242777,False
12,47,-41.27343883152712,13.0,260.2463768115942,306.1304347826087,False
12,48,18.27009570272706,111.0,228.3636363636364,324.97727272727275,False
12,50,-36.83325929578549,145.0,267.774647887324,320.5774647887324,False
12,54,7.808105281045663,13.0,247.62926829268287,338.7512195121951,True
13,1,24.270141810434737,112.0,252.2240663900415,160.26141078838174,False
13,2,21.56531054271518,67.0,237.54819277108436,164.4879518072289,True
13,3,17.063821611304032,66.0,222.8763440860215,167.13440860215053,False
13,4,17.74589157182206,66.0,228.51282051282053,184.12820512820517,False
13,5,23.328073192741837,112.0,261.63157894736844,188.73684210526315,False
13,6,14.470250231198504,115.0,280.1481481481481,206.0308641975309,False
13,10,-33.41818610974999,94.0,202.7284482758621,229.54956896551724,True
13,13,1.047603139667188,127.0,296.7113702623907,249.84839650145773,True
13,17,-63.01368669255181,156.0,281.0,233.5,False
