TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
24,11,-0.1928958115828505,3,125.29411764705884,84.59117647058824,,,True,48.381761330627015,9.909880129419465,5
24,12,-0.44696693152968114,2,225.27574750830564,87.94352159468438,0.507,-0.394,False,40.30840113176427,9.959972621538466,8
24,13,-0.3339059263403723,2,190.3537906137184,98.79783393501803,0.578,-0.58,False,40.23619414436913,9.326527535980334,8
24,14,-0.2348240785035822,2,209.46575342465752,101.98287671232876,0.612,0.214,False,41.22251096522329,9.29701875985663,9
24,15,-0.5153936543004308,2,172.27456647398844,116.23410404624278,0.316,-0.19,False,48.08832040936749,9.475082995180983,9
25,4,-3.072249560860107,3,107.55007949125596,74.43720190779014,1.832,-0.142,False,89.17212337418549,16.35108448637053,3
25,10,-2.7330536154374157,3,83.06752411575563,79.54662379421222,1.129,-0.53,False,44.95057226971992,9.51056571752107,5
25,16,-0.38205966811377035,3,134.67032967032966,82.54945054945055,0.439,0.432,False,25.884275717110015,9.081188397599313,11
25,12,-0.42510657872160634,2,223.09646302250803,88.10932475884245,11.135,-3.259,False,42.844822896437904,9.730467785331708,8
25,17,-3.1396921064881878,3,112.7456647398844,86.72254335260115,0.685,0.196,False,23.74980933746897,9.356959492924585,11
25,13,-0.3695930950118603,2,186.48160535117057,99.91973244147157,,,False,43.125052804989146,9.7822915013043,8
25,14,-0.2727310497994322,2,211.031847133758,101.20382165605096,,,False,44.28008075675952,9.419854321852762,9
25,15,-0.5099113413434994,2,171.30662983425415,115.97237569060772,11.921,3.118,False,49.66806227784371,9.594436830057102,9
26,4,-3.0472514818124252,3,106.05848787446504,75.32524964336662,1.104,-0.216,False,98.33088392048178,19.401025228233127,3
26,10,-2.676298260047434,3,79.42090395480226,79.48305084745763,0.39,-0.347,False,50.59343915848447,9.94313257747233,5
26,16,-0.4079569538875039,3,136.45544554455446,83.77227722772277,0.289,0.134,False,28.078840174152518,9.384230653582929,11
26,12,-0.35696821093049486,2,201.22125181950508,97.43813682678312,,,True,98.5215006663994,11.014606046028849,8
26,17,-3.129557840032884,3,112.60215053763442,88.50537634408602,0.194,-0.053,False,27.17631983814927,8.834840994854739,11
26,15,-0.3715874850870389,2,193.63720316622693,109.51055408970976,,,True,109.27171270759696,11.205532868475606,9
27,4,-3.044004395869781,3,106.34093959731544,73.03758389261745,2.424,-0.331,False,103.84885827056252,20.801183744019355,3
27,10,-2.663952103580524,3,79.06094182825485,77.37950138504155,1.258,-0.611,False,52.54368379191195,9.78040162848488,5
27,16,-0.42256577129377965,3,138.72549019607845,81.28921568627452,0.492,0.489,False,29.523979120470475,9.009061237634612,11
27,18,-0.40905903986256936,2,220.9607843137255,89.2016806722689,0.835,0.222,False,51.95216157755527,9.531050171343551,12
27,17,-3.1269552272099026,3,113.58454106280192,86.80193236714976,0.834,0.146,False,28.14759848948874,9.4891050888335,11
27,19,-0.37904027711162747,2,219.48395721925127,98.38770053475936,,,True,53.22432332866455,10.071017952649214,15
27,20,-0.5005480849440548,2,178.85142857142858,103.66571428571427,1.92,0.212,False,51.18258418942551,9.52630676549572,12
27,21,-0.49139210381084847,2,173.07692307692307,115.3349875930521,0.888,0.079,False,59.46592577483274,9.511016554137868,15
28,4,-3.021511538418221,3,105.53745541022592,71.27705112960761,1.262,0.217,False,115.97038211906026,25.63575326666341,3
28,10,-2.6181693233727548,3,76.76674937965261,75.35483870967742,0.721,-0.04,False,58.83307944687554,10.148381956951129,5
28,16,-0.4918283720754975,3,142.47345132743362,79.66814159292035,0.357,0.461,False,31.98497302754995,9.16334568479315,11
28,18,-0.4300638863656834,2,222.16452442159385,89.18766066838046,,,True,56.12862856726398,9.245274453060343,12
28,17,-3.1222897736561355,3,114.83185840707964,86.36283185840708,0.216,0.342,False,32.31774164325193,9.167831042493749,11
28,22,-0.4571486230808275,2,231.44059405940595,93.37623762376238,0.415,0.165,False,30.390399402003325,8.633535006361912,19
28,20,-0.5435421538135197,2,181.13784461152883,101.79448621553884,0.861,0.301,False,60.78327584758118,8.87973392742829,12
28,21,-0.514297178367877,2,174.26818181818183,114.24545454545456,,,True,63.90405659703746,10.01691858211142,15
28,23,-0.36696222515792826,2,206.5145631067961,104.92233009708738,0.389,0.062,False,31.538515410399864,8.561530263014577,19
29,4,-3.0205978466042036,3,106.50398179749716,71.78384527872582,2.975,0.143,False,122.2784843995191,27.462629008418386,3
29,10,-2.60185630129708,3,76.25235849056604,75.59433962264151,1.675,-0.529,False,62.439988874018695,10.48501262095668,5
29,16,-0.5062593363039661,3,144.8283261802575,80.17596566523605,0.732,0.712,False,33.770788669952495,8.982118210122247,11
29,24,-0.35294448583596416,2,234.54418604651164,85.08837209302325,0.703,0.269,False,29.99379104661073,9.370539140848104,18
29,17,-0.006457204550320968,3,116.0632911392405,87.57383966244726,0.881,0.382,False,33.39843839920172,9.191157253331856,11
29,22,-0.44464846210097725,2,231.74285714285716,94.82380952380952,0.756,0.147,False,32.46572211297985,8.456237546474718,19
29,20,-0.5307942373354327,2,182.4841075794621,102.4718826405868,1.432,0.502,False,65.08614428028524,8.907133907575895,12
29,25,-0.4661835007671646,2,210.4830917874396,96.32367149758454,,,False,29.460559763431046,9.246931573252247,18
29,26,-0.49868114761672433,2,185.63106796116503,108.6990291262136,7.917,1.395,False,31.39589388300677,8.681576317400248,21
29,23,-0.3822535082221365,2,205.71563981042652,107.1563981042654,0.671,-0.225,False,33.483756209919484,8.31354425211187,19
29,27,-0.17977479570876273,2,166.6,122.1653846153846,0.869,0.804,False,38.226448652692405,9.001849696550348,21
30,4,-3.0175332039466727,3,106.7455268389662,72.7037773359841,1.435,0.129,False,137.1543459946819,31.99979459567043,3
30,10,-2.5601529848811295,3,72.50106157112526,75.5732484076433,0.715,-0.289,False,70.81622655817408,10.43224899481577,5
30,16,-0.518725486672821,3,148.1439393939394,81.53787878787878,0.325,0.396,False,37.43125827030877,9.191618171663473,11
30,24,-0.352170881917543,2,234.9327731092437,87.9201680672269,0.372,0.234,False,33.50711149475711,9.490731674459337,18
30,17,-0.012423824562540308,3,116.62867647058825,89.98161764705883,0.455,0.217,False,37.805236694016045,9.478749441048109,11
30,20,-0.5076822207499772,2,184.50782997762863,103.99552572706936,0.647,0.133,False,72.24539266650575,8.83923857365516,12
30,22,-0.44104285686024286,2,231.2436974789916,97.93697478991596,,,False,36.24566497841479,8.56773408115812,19
30,26,-0.46579021052569186,2,194.6688311688312,106.9047619047619,0.572,-0.062,False,70.98079520591577,8.963609932553307,21
30,23,-0.3803344796152196,2,202.02057613168725,111.66666666666669,,,False,36.83770969477921,8.728944804724756,19
30,27,-0.16234110062181523,2,169.30555555555554,125.27083333333331,16.003,3.788,False,42.5735875286522,9.69765068925496,21
31,4,-3.0201316616883602,3,107.53802816901408,72.68169014084508,,,True,144.32833449513626,34.84284338520078,3
31,10,-2.5396892765817185,3,71.05112474437628,74.95910020449898,2.003,-0.887,False,74.39013693877628,10.626686561122044,5
