CellNumber,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
63,0.0539104538325388,21083.1111600276,2,-617.957172271468,22283.2487712316
64,0.0818955146531479,11000.3620635407,3,1016.17917271276,12403.4444671176
65,-0.173664154745247,22881.4365385328,3,-374.158934590678,16104.5686839041
66,0.0605478084850552,13070.2387375645,3,-951.256115341928,14408.7391966852
67,0.0857350001137434,11975.4917629478,3,267.606752200261,13560.632339057
68,0.0605674114258585,13281.1676082463,2,717.851749167792,14136.3226468834
69,0.0662030969572225,13535.2636427397,2,-565.977985960119,14493.3703051673
70,0.0546105199492546,11335.2627768919,2,-390.639016965477,11989.3577277787
71,0.0811993488832154,12240.3449144417,2,80.5095631618387,13319.5097072491
72,-0.0161062898709954,22469.1121269924,2,587.970974594733,22112.9847783442
73,0.0535698893454599,15010.5735293054,2,-427.630615615803,15859.3451324602
74,0.0432816065873975,25359.6478890035,2,501.520023199853,26506.1613038664
75,0.0448505937967472,12738.6909108306,2,576.500172811167,13336.4372922145
76,0.035579575439491,13038.2606211957,2,501.616406326561,13519.0601773903
