TimeStep,CellNumber,Orientation,Center_X,Center_Y
10,27,-86.579442259451,106066.333797802,91934.1674407803
11,16,-79.782089584441,85305.9382973788,64248.8242287172
11,17,52.033615387094,71601.788006067,82648.2888033291
11,18,88.5233700580549,79009.6819457437,64834.5494231369
11,19,-72.5284316785633,80334.2709564618,114375.215474783
11,20,87.1256559885564,82026.4160119716,80275.1178451178
11,21,-74.9282992277685,86384.1412983041,114868.519483829
11,22,88.9458871906459,87365.973909815,83187.5075941677
11,23,-80.7524517168315,91371.5601439342,65500.3636432869
11,24,58.2888210962842,95160.0512356842,102744.055781595
11,25,85.0243060670538,92378.9494039494,90920.1656201656
11,26,-88.8862795366963,98336.8425653938,81119.125635287
11,27,-84.6844717690861,104452.518321775,88753.8291279327
11,28,-82.5009073614596,73361.9854992368,97255.368703616
11,29,-79.2740985295104,78274.5808966862,92771.1835143414
11,30,-69.3974332140556,85598.4014101629,97962.895848529
11,31,52.009127649865,94622.2159090909,113541.260521886
12,16,-74.7710865221878,86527.6993544281,65878.9404891798
12,18,-83.568459786565,79840.8433055162,62223.6176717577
12,19,-68.5467911901186,80839.53954438,115696.09929078
12,20,88.5152296047197,82778.2553665452,80639.4061360875
12,22,86.6001998272699,88038.6423135464,83299.6286149163
12,25,82.828733686814,92739.2829481705,91613.9563970527
12,26,83.0346130855876,98883.3636442366,85954.4567853122
12,27,-89.1315483527547,104979.630733236,88644.1415044365
12,28,-87.8376733076185,73105.0199593726,97133.6563444822
12,29,-85.5229623462779,78870.7295510455,98048.6277675277
12,30,-68.9029813883913,85863.4972926681,99818.9195535665
12,31,63.1406185459568,95788.5911389622,117021.694517737
12,32,57.8400113395119,68977.2213830144,85197.7517623364
12,33,57.7907903644848,75756.2965949821,74948.0940860215
12,34,-65.7538190870253,89670.1457725948,57335.2340459994
12,35,-86.0941812571357,92892.0974292248,71036.1495544515
12,36,70.7825861643417,98345.7633727865,98121.3081475365
13,16,-65.4690275965502,87566.3976583239,64491.6607413728
13,18,-61.9141754423703,79595.4639850588,61247.3908680381
13,20,76.0032278058639,84221.6270999546,79853.4020886035
13,26,79.7526318142071,98934.1823081562,85352.1181968943
13,27,88.0149116723641,105265.515714918,87491.3165519739
13,28,78.2776410731514,72806.6105870021,95705.6158280923
13,29,78.0009191322239,78601.2443926846,94229.3273378192
13,30,-67.678658228945,86958.8501872659,102221.760923845
13,32,62.9427003271396,70320.2668557642,84009.4524321857
13,33,70.2189880713818,75829.7911212914,71197.0431573589
13,34,-58.737202439385,89299.2632917675,55459.4833736584
13,35,-79.1116305493202,95001.1842392491,69624.6334497562
13,36,81.2604628376877,98670.9782876881,98270.1537955424
13,37,-69.8177226403884,78093.2675272083,108258.446173964
13,38,75.241559028428,79429.1765873016,77999.44664903
13,39,-67.3858524362762,82918.4379062476,119222.621778695
13,40,-69.1164028735638,83200.5032386647,106118.719481814
13,41,75.2619890378794,87482.425265188,87724.1307725276
13,42,-85.0344871555239,92303.510320478,97985.9919126079
13,43,65.3442195455785,94904.9377523553,112790.842305967
13,44,77.1823218559713,93639.8214285714,84221.9986772487
13,45,57.1958362859701,98077.6113069591,119274.539757148
14,16,-41.2872223187211,88041.5841939185,61880.3188946261
14,18,-48.7234974190627,78890.8713772272,60414.1049170299
14,26,84.6513875963154,99170.9125287083,84383.4135186505
14,27,81.0284839583039,104315.374347773,86760.6024754277
14,28,76.9312003819571,73242.040271276,96174.7554315208
14,29,71.6591714010712,79556.4532757547,92428.3953859321
14,32,68.1411977714811,70705.9031782648,84698.5061835192
14,33,73.9869613273747,75511.020198747,70500.1125153021
14,34,-43.0151002041277,89472.323831826,55048.3742463394
14,35,82.9770603218308,96244.6741854637,69278.9464981899
14,36,-75.6161646460674,97392.0539730135,98963.9513576545
14,37,-77.243447383162,78363.8622742686,107941.862826276
14,38,72.9507258147726,79774.554941682,75260.5586249233
14,39,-69.0453242198088,82409.2463584547,120533.487263388
14,40,-75.2357707706261,83382.5879204893,105671.9132263
14,41,79.5699618582193,88356.8364822312,85662.871120108
14,42,-74.7299358780917,92338.518047609,100901.06042947
14,43,53.3550923421901,96088.8246052441,113465.774844271
14,44,82.9576202537358,93736.1534249303,85300.6235065711
14,45,49.7135821692463,98319.3946664055,119668.046579188
14,46,76.1500417826608,84829.9135552177,75610.4874134144
14,47,-72.6064935266867,85324.8127199598,96014.9371543489
14,48,-76.2688021790617,89305.1751908019,108574.363167807
15,16,-35.4894044997003,87712.0110701107,59598.3558835588
15,18,-46.0227916323875,78757.1365608896,61401.8477081638
15,26,87.0044433194088,99208.2466918714,84996.7706364209
15,29,52.4070374906727,80027.879888672,92212.4846381841
15,32,60.5413043144202,70465.3823896011,86469.2819622507
15,33,81.788875530797,75064.879407851,71308.6410512309
15,35,78.1283381811051,96261.756553963,67924.5023275756
15,36,-78.1802067755123,97202.8939871045,101144.15017244
15,37,-82.1519800283255,77709.1475442834,107781.663647343
15,38,81.362123544731,79895.2979515829,75816.4280726257
