ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
21,1,189,480,63,56,43,32,51.65079365079365,43.851851851851855,1.7928902694688726,218,0.9617748100431164,15.512648837479231,1,0.39375,0.5577586185998102,30.54412171282431,27.459060435491963,4.123105625617661,2.0537939810282735,2.0,8.196867753821019,8.364250763129453,36.932569492597764,65.25483399593905,0.8669724770642202,51.65079365079365,43.851851851851855,0,0.0,48.37494508517727,2,1.0,13.25301204819277,0.0,0,1,35.9630134910662,17.347147145830192,nan,129.85885995534966,3.0,17,0.27693923620946337,20.0,1,-10.925425861401472,-13.474367660343269
21,2,454,2773,119,99,60,52,89.4647577092511,74.02202643171806,4.419795018726651,629,0.9942734995957468,24.04268606686374,1,0.16372160115398485,0.22625483665260596,81.15434237323387,71.21797525905943,3.605551275463989,1.9629601589395422,2.0,9.543643855469574,8.67258908924394,54.51546444343561,158.79393923934,0.7217806041335453,89.4647577092511,74.02202643171806,0,0.0,48.37494508517727,1,1.0,6.280193236714976,0.0,0,2,28.618798601918996,12.453034097670619,nan,129.8316594475632,3.0,17,0.22043004551965728,20.0,2,-8.945203976572657,-8.663797323071208
22,1,183,500,62,54,42,29,50.404371584699454,41.431693989071036,1.9669171016283615,223,0.9659032538738171,15.26443044094783,1,0.366,0.5084098354588127,31.58752606297612,28.0178514522438,3.605551275463989,1.9501585844492497,2.0,8.320502943378436,8.178113846213197,34.57704083727699,67.25483399593904,0.820627802690583,50.404371584699454,41.431693989071036,0,0.0,48.94095378850918,2,1.0,12.941176470588236,0.0,0,1,37.391437728158984,2.7222659766500312,nan,132.58112593199968,3.0,18,0.2820268531083142,21.0,1,-1.2464220660941976,-2.420157862780819
22,2,432,2820,118,98,58,51,88.40277777777777,72.27546296296296,4.693468190556395,608,0.9947868570587889,23.452920571340155,1,0.15319148936170213,0.21306205973912298,81.97321878140316,72.42237223399962,3.605551275463989,1.8822410832518086,2.0,9.443254892900656,8.359302745847401,54.61927736176413,159.6223663640862,0.7105263157894737,88.40277777777777,72.27546296296296,0,0.0,48.94095378850918,1,1.0,5.769230769230769,0.0,0,2,26.82264212792832,2.0440854495940095,nan,131.8757448971572,3.0,18,0.20339329380733245,21.0,2,-1.0619799314733314,-1.7465634687550988
23,1,704,6320,121,105,41,26,77.52556818181819,65.765625,6.681258623427287,1321,0.9950259158480297,29.93928254807644,1,0.11139240506329114,0.149672398025962,125.46465430515318,109.60383204979651,3.605551275463989,1.9673992040518704,2.0,14.649070462771434,12.498336963570164,50.454487549626634,243.11984104714452,0.5329295987887964,77.52556818181819,65.765625,0,0.0,0.0,0,0.0,0.0,0.0,0,1,22.652537195380837,12.676422164730434,nan,144.55216706188764,3.0,19,0.1567083887831479,22.0,2,-10.877209595959584,-6.509837962962962
24,1,221,640,59,54,39,22,46.90045248868778,37.92307692307692,2.309305353267033,293,0.9725557535656505,16.774562271083887,1,0.3453125,0.43303065079084263,37.33495021216033,33.24154027718932,4.0,1.9820522850930415,2.0,8.94427190999916,8.686721045116387,26.460066585599517,80.08326112068524,0.7542662116040956,46.90045248868778,37.92307692307692,0,0.0,56.59354167656303,2,1.0,12.371134020618557,0.0,0,1,41.37049206238899,41.38967497617486,nan,185.9418420380625,3.0,20,0.2224915683793237,23.0,1,-30.625115693130404,-27.84254807692308
24,2,545,3696,121,107,55,51,89.21100917431193,75.50825688073394,5.025552559201894,876,0.9935484506092479,26.34227689249097,1,0.14745670995670995,0.1989830945393216,95.27345155466342,83.86894538504703,3.605551275463989,1.997583920258603,2.0,12.34194388057104,10.804814366388877,52.8644919195803,185.52186130069782,0.6221461187214612,89.21100917431193,75.50825688073394,0,0.0,56.59354167656303,1,1.0,5.0,0.0,0,2,30.08711145371935,15.214085813894517,nan,159.76625287578216,3.0,20,0.18831956631737493,23.0,1,11.685440992493739,9.742631880733938
25,1,219,456,53,55,41,17,45.41095890410959,35.63470319634703,2.653563947441115,267,0.985259902584909,16.698486766680407,1,0.48026315789473684,0.3768516680987922,41.80051746175398,37.8549864614954,4.0,1.8647970850274649,2.0,7.494400425374205,7.150567660829176,10.732798199419902,85.4558441227157,0.8202247191011236,45.41095890410959,35.63470319634703,0,0.0,57.45671256344349,2,0.0,0.0,0.0,0,1,43.297452152293474,2.7304295361146425,nan,188.67227157417716,3.0,21,0.22948497832269396,24.0,1,-1.4894935845781916,-2.288373726729887
25,2,616,4900,123,111,53,41,88.22727272727273,73.94967532467533,5.91095898739479,1072,0.9943520813432403,28.00563442518059,1,0.12571428571428572,0.1691772861446874,108.3707684170575,96.17692030835673,3.605551275463989,1.9704867596331788,2.0,12.548198042725048,11.50157418030149,50.49319482963429,213.9066376115481,0.5746268656716418,88.22727272727273,73.94967532467533,0,0.0,57.45671256344349,1,0.0,0.0,0.0,0,2,28.491566371278296,1.8430718553869188,nan,161.60932473116907,3.0,21,0.1762990249397609,24.0,2,-0.9837364470391918,-1.5585815560586127
26,1,201,456,53,57,41,19,45.45273631840796,36.940298507462686,2.8516949942190295,262,0.9872231285101277,15.99753570059363,1,0.4407894736842105,0.3506686381352862,42.669475442933866,37.656340767525464,3.605551275463989,1.753822773223087,2.0,7.310111890324019,6.79912277932242,10.704385055944252,84.87005768508881,0.767175572519084,45.45273631840796,36.940298507462686,0,0.0,56.26176354698278,2,0.0,0.0,0.0,0,1,42.97885913549615,1.3062635525622825,nan,189.97853512673944,3.0,22,0.22623007966044098,25.0,1,0.04177741429836601,1.3055953111156526
26,2,567,5040,123,112,53,40,87.91358024691358,73.85185185185185,6.787092270947288,1096,0.9945744679214755,26.86869594648831,1,0.1125,0.1473385008010843,111.14751856602999,99.00505037623081,3.605551275463989,1.817396074029469,2.0,12.34025086353036,11.562348806208934,49.98730500838909,219.9066376115481,0.5173357664233577,87.91358024691358,73.85185185185185,0,0.0,56.26176354698278,1,0.0,0.0,0.0,0,2,28.388323032765392,0.328591545948952,nan,161.937916277118,3.0,22,0.17530374408539115,25.0,2,-0.3136924803591512,-0.09782347282347814
27,1,248,645,55,68,40,25,45.19758064516129,46.11290322580645,3.0932699964638357,362,0.985111017983487,17.769732893161912,1,0.38449612403100775,0.32328248136864224,49.85494254332239,43.174066289845804,3.605551275463989,1.8234046895696066,2.0,9.167466406717963,8.571032120992728,11.97177904952162,98.18376618407356,0.6850828729281768,45.19758064516129,46.11290322580645,0,0.0,54.31824288612059,2,0.0,0.0,0.0,0,1,42.38494992359369,9.176152883238826,nan,199.15468800997826,3.0,23,0.21282426412914804,26.0,1,-0.2551556732466693,9.172604718343763
27,2,695,6375,125,124,50,39,87.09208633093525,80.6863309352518,7.044975682922967,1396,0.9939384810552805,29.747293718772774,1,0.10901960784313726,0.141945131538779,124.90858759327183,110.63453348751464,3.605551275463989,1.9248322672664262,2.0,13.880747790939392,13.732161691936001,47.81049274426372,248.04877323527904,0.4978510028653295,87.09208633093525,80.6863309352518,0,0.0,54.31824288612059,1,0.0,0.0,0.0,0,2,35.224159711596165,6.88367319063165,nan,168.82158946774965,3.0,23,0.20864724602255397,26.0,2,-0.821493915978337,6.834479083399955
