CellNumber,GrowthRate,BirthLength,LifeHistory,AverageVelocity
233,0.00697391147395633,35.3473268988534,19,0.140540160823997
234,0.0191041399489416,29.1452922565299,17,0.355682108159844
235,0.0415849710472092,11.5580640463671,20,0.451747295399499
236,0.00996467344150525,17.6463298471128,21,0.323460604511605
237,0.0595499186792269,6.1787672840128,25,0.370880366666467
238,-0.0247087434685964,39.5758235749903,17,0.659123610205022
239,0.0224908008441625,20.7114751711065,24,-0.140898918048139
240,0.0116536136869624,54.5144292433033,13,0.0247060290970263
241,0.0204490832595698,19.7178258231377,21,0.802036931290389
242,0.00720152611454483,28.9768636299313,33,0.359426004968056
243,0.0339870686209846,23.3273488661418,18,-0.193600208505266
244,0.00904901858362088,27.9156970863806,33,-0.32735875490689
245,0.0177526774598338,31.2822784734674,22,0.101223627330877
246,0.0329042707642657,23.4663866799847,19,0.409161669234001
247,-0.0240328235468006,92.0861482124796,5,0.778490243744636
248,0.141495770706851,26.7281967953737,3,-0.816791628450005
249,0.0200901354826827,24.1119805162018,27,-0.13237507729585
250,0.0225901519066742,20.6514584273678,27,-0.294366826562859
251,0.0282409069854193,13.4155029848671,17,0.713674281766934
252,0.00114104875859905,26.3307114515836,26,0.714847358766257
253,0.0222892485404563,31.1475174528164,17,-0.0717716729416626
254,0.0553533091857483,16.5914813996439,15,0.215390226748751
255,0.0295336195507267,24.6365587126774,19,-0.102024766864257
256,0.000636399548864139,25.7224977693522,15,-0.0734475908716983
257,0.0191334344049908,29.0421855801715,17,0.494150332398186
258,0.0234113715032218,11.4686715650063,31,-0.0687516984250129
259,0.0194464758670116,26.2374664763813,18,-0.0369865195609333
260,0.00565012639849996,28.2022682563661,24,-0.135804228212886
261,0.0147373531784584,31.0726047221848,26,0.0168263423939601
262,0.00161121814972499,27.2282607551101,23,-0.726269731870029
263,0.0222649983382062,26.1475216068529,16,0.735719864960771
264,0.020791674005064,19.8102084517662,26,0.0888742798200333
265,0.0257882999000538,23.8714869299932,17,0.502138027094287
266,0.02601575741135,31.6911494859729,15,0.214382853999122
267,0.00956545667609966,25.8493269538985,22,-0.556493759812652
