CellNumber,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
53,-0.0810930281877518,18,5,-0.192578122019768,19.5227088928223
54,0.0938009545207024,30.4105224609375,7,-3.70492553710938,41.6176452636719
55,0.0688085928559303,35.3532829284668,7,-0.204642161726952,44.7078628540039
56,NaN,8.04984474182129,1,0,8.04984474182129
57,0.0464046001434326,30.4630966186523,3,1.41348266601563,32.7145195007324
58,-0.00779993180185556,37.2620658874512,7,-1.72319686412811,32.9492454528809
59,-0.365232944488525,35.8952713012695,3,1.47870886325836,28.9304256439209
60,0,16,2,-1.11018371582031,16
61,-0.50452995300293,49.9731216430664,3,-7.68323755264282,38.6790542602539
62,-0.276525139808655,27.2029438018799,4,-2.62236022949219,17.0507354736328
63,-0.27450966835022,49.2399139404297,2,-5.49330139160156,38.8383750915527
64,0.0686466693878174,26.2469024658203,3,0.937591552734375,32.2319869995117
65,0.157738894224167,16.9774913787842,7,-1.96517503261566,37.9878273010254
66,NaN,29.154712677002,1,0,29.154712677002
67,-0.355983138084412,33.2273750305176,4,9.36229705810547,28.8894195556641
68,0.0212894678115845,12,2,1.26377868652344,12.2609901428223
69,-0.0347169637680054,35.8642807006836,6,5.88287878036499,35.3516578674316
70,-0.521485328674316,47.8007354736328,3,-2.23568725585938,36.8079643249512
71,0.0613387115299702,26.9823760986328,5,-1.81190180778503,30.747838973999
72,NaN,15.1636524200439,1,0,15.1636524200439
73,NaN,8,1,0,8
74,NaN,14,1,0,14
75,0.078938290476799,28.4039535522461,5,-0.478558361530304,35.3716583251953
76,0.0759235024452209,25.9383888244629,4,-4.07857513427734,29.976993560791
77,0.093389093875885,43.583137512207,4,-1.30442047119141,50.7148017883301
78,-0.231488943099976,24.9811687469482,3,-0.997568786144257,21.7792873382568
79,0.193523466587067,20,4,-2.00495910644531,32.9760360717773
80,0.148024082183838,37.6298141479492,4,-2.79167938232422,52.5597801208496
81,0.0952939391136169,32.3801116943359,4,-2.91705322265625,40.0283660888672
82,-0.0863087773323059,39.917163848877,4,-6.25865936279297,41.3938179016113
83,0.0811851024627686,29.8318824768066,3,-2.75820922851563,33.8105773925781
84,NaN,28.0924949645996,1,0,28.0924949645996
85,NaN,14,1,0,14
86,NaN,6,1,0,6
87,0.0886659622192383,25.0550155639648,3,0.456166595220566,29.4222412109375
88,NaN,10,1,0,10
89,0.193179130554199,19.5634803771973,3,3.16367602348328,28.7037410736084
90,NaN,6,1,0,6
91,NaN,5,1,0,5
92,NaN,9,1,0,9
93,-0.0634902715682983,14.7601327896118,2,-1.99934387207031,13.8800659179688
94,NaN,8,1,0,8
95,0.0820614099502563,30.5871963500977,2,4.29823303222656,33.3149490356445
96,0.393955945968628,12,2,-3.82029724121094,19.1928005218506
97,0.355301141738892,27.0903797149658,2,5.56871032714844,41.1125793457031
98,0.301126003265381,28.4604969024658,2,3.84548950195313,40.2179107666016
99,0.0600005388259888,37.8889007568359,2,-1.66110229492188,40.3042831420898
100,NaN,9,1,0,9
101,-0.0109312534332275,35.104793548584,2,3.73966979980469,34.7252197265625
102,NaN,9,1,0,9
103,NaN,47.2908401489258,1,0,47.2908401489258
104,NaN,29.1547584533691,1,0,29.1547584533691
105,NaN,32.6457672119141,1,0,32.6457672119141
106,NaN,19.8077297210693,1,0,19.8077297210693
107,NaN,10.6066017150879,1,0,10.6066017150879
108,NaN,10,1,0,10
109,NaN,8,1,0,8
110,NaN,12,1,0,12
111,NaN,11.6275539398193,1,0,11.6275539398193
112,NaN,31.0632076263428,1,0,31.0632076263428
